state_code,metric_id,metric_value,period,end_date,officer_id,value_type
US_XX,incarceration_starts_and_inferred,0.12,YEAR,2023-04-01,06,RATE
US_XX,incarceration_starts_and_inferred,0.3,YEAR,2023-04-01,07,RATE
US_XX,incarceration_starts_and_inferred,0.266,YEAR,2023-05-01,01,RATE
US_XX,incarceration_starts_and_inferred,0.111,YEAR,2023-05-01,02,RATE
US_XX,incarceration_starts_and_inferred,0.0399,YEAR,2023-05-01,03,RATE
US_XX,incarceration_starts_and_inferred,0.0,YEAR,2023-05-01,04,RATE
US_XX,incarceration_starts_and_inferred,0.184,YEAR,2023-05-01,05,RATE
US_XX,incarceration_starts_and_inferred,0.126,YEAR,2023-05-01,06,RATE
US_XX,incarceration_starts_and_inferred,0.170,YEAR,2023-05-01,07,RATE
US_XX,incarceration_starts_and_inferred,0.333,YEAR,2023-05-01,08,RATE
