state_code,officer_id,metric_id,period,end_date,metric_rate,caseload_type,target,threshold,status,top_x_pct,top_x_pct_percentile_value,is_top_x_pct
US_PA,01,absconsions_bench_warrants,YEAR,2023-05-01,0.32,ALL,0.14,0.21,NEAR,,,
US_PA,02,absconsions_bench_warrants,YEAR,2023-05-01,0.1,ALL,0.14,0.21,MET,,,
US_PA,03,absconsions_bench_warrants,YEAR,2023-05-01,0.8,ALL,0.14,0.21,FAR,10,0.2,False
US_PA,01,absconsions_bench_warrants,YEAR,2023-04-01,0.32,ALL,0.14,0.21,NEAR,,,
US_PA,02,absconsions_bench_warrants,YEAR,2023-04-01,0.1,ALL,0.14,0.21,MET,,,
US_PA,03,absconsions_bench_warrants,YEAR,2023-04-01,0.8,ALL,0.14,0.21,FAR,,,
US_PA,04,absconsions_bench_warrants,YEAR,2023-04-01,0.0,ALL,0.14,0.21,MET,,,
US_PA,01,absconsions_bench_warrants,YEAR,2023-03-01,0.32,ALL,0.14,0.21,NEAR,,,
US_PA,02,absconsions_bench_warrants,YEAR,2023-03-01,0.1,ALL,0.14,0.21,MET,,,
US_PA,03,absconsions_bench_warrants,YEAR,2023-03-01,0.8,ALL,0.14,0.21,FAR,,,
US_PA,04,absconsions_bench_warrants,YEAR,2023-03-01,0.0,ALL,0.14,0.21,MET,,,
US_PA,01,absconsions_bench_warrants,YEAR,2023-02-01,0.32,ALL,0.14,0.21,NEAR,,,
US_PA,02,absconsions_bench_warrants,YEAR,2023-02-01,0.1,ALL,0.14,0.21,MET,,,
US_PA,03,absconsions_bench_warrants,YEAR,2023-02-01,0.8,ALL,0.14,0.21,FAR,,,
US_PA,04,absconsions_bench_warrants,YEAR,2023-02-01,0.0,ALL,0.14,0.21,MET,,,
US_PA,01,absconsions_bench_warrants,YEAR,2023-01-01,0.32,ALL,0.14,0.21,NEAR,,,
US_PA,02,absconsions_bench_warrants,YEAR,2023-01-01,0.1,ALL,0.14,0.21,MET,,,
US_PA,03,absconsions_bench_warrants,YEAR,2023-01-01,0.8,ALL,0.14,0.21,FAR,,,
US_PA,04,absconsions_bench_warrants,YEAR,2023-01-01,0.0,ALL,0.14,0.21,MET,,,
US_PA,01,absconsions_bench_warrants,YEAR,2022-12-01,0.32,ALL,0.14,0.21,NEAR,,,
US_PA,02,absconsions_bench_warrants,YEAR,2022-12-01,0.1,ALL,0.14,0.21,MET,,,
US_PA,03,absconsions_bench_warrants,YEAR,2022-12-01,0.8,ALL,0.14,0.21,FAR,,,
US_PA,04,absconsions_bench_warrants,YEAR,2022-12-01,0.0,ALL,0.14,0.21,MET,,,
US_PA,09,absconsions_bench_warrants,YEAR,2023-05-01,0.1,ALL,0.14,0.21,MET,10,0.08,False
