facility_code,facility_name,type,district,division
GALP,Gallatin Probation Office,PROBATION,80,MIDDLE
P95F,Lebanon Probation And Parole Office,DUAL,81,MIDDLE
LEBP,Lebanon Probation Office,PROBATION,80,MIDDLE
P74F,Springfield Probation And Parole Office,DUAL,81,MIDDLE
SPRP,Springfield Probation Office,PROBATION,80,MIDDLE
MRCP,Montgomery-Robertson County Community Correction,COMMUNITY_CORRECTIONS,NOT_APPLICABLE,NOT_APPLICABLE
MMEP,Delta Probation Region Day Reporting Center,PROBATION,INTERNAL_UNKNOWN,INTERNAL_UNKNOWN
DERP,Delta Regional Probation Office,PROBATION,INTERNAL_UNKNOWN,INTERNAL_UNKNOWN
ETHR,East Tennessee Human Resource Agency,COMMUNITY_CORRECTIONS,NOT_APPLICABLE,NOT_APPLICABLE
SECC,Southeast TN Community Corrections,COMMUNITY_CORRECTIONS,NOT_APPLICABLE,NOT_APPLICABLE
SCHR,South Central Human Resource Agency,COMMUNITY_CORRECTIONS,NOT_APPLICABLE,NOT_APPLICABLE
CACC,Correctional Alternative,COMMUNITY_CORRECTIONS,NOT_APPLICABLE,NOT_APPLICABLE
CATS,Community Alternative Treatment Services,COMMUNITY_CORRECTIONS,NOT_APPLICABLE,NOT_APPLICABLE
CNV,Conversion,PAROLE,NOT_APPLICABLE,NOT_APPLICABLE
OIC,Office Of Investigations,DUAL,0,NOT_APPLICABLE
PUPPF,Unsupervised/Private Probation,PROBATION,NOT_APPLICABLE,NOT_APPLICABLE
SWEP,Southwest Regional Probation Office,PROBATION,NOT_APPLICABLE,WEST
BPCO,Board of Parole Central Office,TC,0,NOT_APPLICABLE
HCCF,Hardeman County Correctional Facility,COMMUNITY_CORRECTIONS,NOT_APPLICABLE,NOT_APPLICABLE
