canonical_name,nickname
ephraim,eph
erasmus,rasmus
erasmus,raze
eric,rick
eric,ricky
ernest,ernie
ernestine,erna
ernestine,ernest
ernestine,teeny
ernestine,tina
erwin,irwin
eseneth,senie
essy,es
estella,essy
estella,stella
estelle,essy
estelle,stella
esther,essie
esther,hester
eudicy,dicey
eudora,dora
eudoris,dosie
eudoris,dossie
eugene,gene
eunice,nicie
euphemia,effie
euphemia,effy
eurydice,dicey
eustacia,stacia
eustacia,stacy
eva,eve
evaline,eva
evaline,eve
evaline,lena
evangeline,ev
evangeline,evan
evangeline,vangie
evelyn,ev
evelyn,eve
evelyn,evelina
experience,exie
ezekiel,ez
ezekiel,zeke
ezideen,ez
ezra,ez
faith,fay
fallon,fal
fallon,falcon
fallon,fall
fallon,fallie
fallon,fally
fallon,falon
fallon,lon
fallon,lonnie
felicia,fel
felicia,feli
felicia,felix
felicity,flick
felicity,tick
feltie,felty
ferdinand,ferdie
ferdinand,fred
ferdinand,freddie
ferdinand,freddy
ferdinando,ferdie
ferdinando,fred
ferdinando,nando
fidelia,delia
fionna,fiona
flora,florence
florence,flo
florence,flora
florence,flossy
floyd,lloyd
fran,frannie
frances,cissy
frances,fanny
frances,fran
frances,francie
frances,frankie
frances,frannie
frances,franniey
frances,franny
frances,sis
francie,francine
francine,fran
francine,francie
francine,frannie
francine,franniey
francine,franny
francis,fran
francis,frank
francis,frankie
frankie,francis
frankie,frank
franklin,fran
franklin,frank
franklind,fran
franklind,frank
freda,frieda
frederica,erica
frederica,erika
frederica,freddy
frederica,frederick
frederica,rickey
frederick,derick
frederick,erick
frederick,fred
frederick,freddie
frederick,freddy
frederick,fritz
frederick,rick
frederick,ricky
fredericka,ericka
fredericka,freda
fredericka,freddy
fredericka,frieda
fredericka,ricka
fredericka,rickey
frieda,fred
frieda,freddie
frieda,freddy
gabriel,gabby
gabriel,gabe
gabriella,ella
gabriella,gabby
gabrielle,ella
gabrielle,gabby
gareth,gare
gareth,gary
garrett,barrett
garrett,gare
garrett,garratt
garrett,garret
garrett,garry
garrett,gary
garrett,jerry
garrett,rhett
garrick,garri
genevieve,eve
genevieve,jean
genevieve,jenny
geoffrey,geoff
geoffrey,jeff
george,georgie
georgiana,georgia
georgine,george
gerald,gerry
gerald,jerry
geraldine,dina
geraldine,gerri
geraldine,gerrie
geraldine,gerry
geraldine,jerry
gerhardt,gay
gertie,gert
gertie,gertrude
gertrude,gert
gertrude,gertie
gertrude,trudy
gilbert,bert
gilbert,gil
gilbert,wilber
giovanni,gio
glenn,glen
gloria,glory
governor,govie
greenberry,berry
greenberry,green
greggory,gregg
gregory,gory
gregory,greg
gretchen,margaret
griselda,grissel
gum,monty
gus,gussie
gustavus,gus
gustavus,gussie
gwen,wendy
gwendolyn,gwen
gwendolyn,wendy
hailey,haylee
hailey,hayley
hamilton,ham
hannah,anna
hannah,nan
hannah,nanny
harold,hal
harold,hap
harold,haps
harold,harry
harriet,hattie
harrison,hap
harrison,haps
harrison,harry
harry,hap
harry,haps
harry,harold
harry,henry
haseltine,hassie
haylee,hailey
haylee,hayley
hayley,hailey
hayley,haylee
heather,hetty
helen,ella
helen,ellen
helen,ellie
helen,lena
helena,aileen
helena,eileen
helena,elaine
helena,eleanor
helena,ellen
helena,lena
helena,nell
helena,nellie
helene,ella
helene,ellen
helene,ellie
helene,lena
heloise,eloise
heloise,elouise
heloise,lois
henrietta,etta
henrietta,etty
henrietta,hank
henrietta,henny
henrietta,nettie
henrietta,retta
henry,hal
henry,hank
henry,hap
henry,haps
henry,harry
hephsibah,hipsie
hepsibah,hipsie
herbert,bert
herbert,herb
herman,dutch
herman,harman
hermione,hermie
hester,esther
hester,hessy
hester,hetty
hezekiah,hez
hezekiah,hy
hezekiah,kiah
hillary,hilary
hipsbibah,hipsie
hiram,hy
honora,honey
honora,nora
honora,norah
honora,norry
hopkins,hop
hopkins,hopp
horace,horry
hortense,harty
hortense,tensey
hosea,hosey
hosea,hosie
howard,hal
howard,howie
hubert,bert
hubert,hub
hubert,hugh
ian,john
ignatius,iggy
ignatius,nace
ignatius,nate
ignatius,natius
ignatzio,iggy
ignatzio,nace
ignatzio,naz
immanuel,emmanuel
immanuel,manuel
india,indie
india,indy
inez,agnes
iona,onnie
irene,rena
irvin,irving
irving,irv
irwin,erwin
isaac,ike
isaac,zeke
isabel,bell
isabel,bella
isabel,belle
isabel,ib
isabel,issy
isabel,nib
isabel,nibby
isabel,tibbie
isabella,bella
isabella,belle
isabella,ib
isabella,issy
isabella,nib
isabella,nibby
isabella,tibbie
isabelle,bella
isabelle,belle
isabelle,ib
isabelle,issy
isabelle,nib
isabelle,nibby
isabelle,tibbie
isadora,dora
isadora,issy
isadore,izzy
isaiah,zadie
isaiah,zay
isidore,izzy
iva,ivy
ivan,john
jackson,jack
jacob,jaap
jacob,jake
jacob,jay
jacobus,jacob
jacqueline,jack
jacqueline,jackie
jacqueline,jacqui
jahoda,hoda
jahoda,hodie
jahoda,hody
jakob,jake
jalen,al
jalen,alen
jalen,haylen
jalen,jaelin
jalen,jaelyn
jalen,jailyn
jalen,jay
jalen,jaye
jalen,jaylin
jalen,jaylyn
jalen,len
jalen,lennie
jalen,lenny
james,jamie
james,jem
james,jim
james,jimmie
james,jimmy
jamey,james
jamey,jamie
jamie,james
jane,janie
jane,jean
jane,jennie
jane,jessie
janet,jan
janet,jessie
janice,jan
jannett,nettie
jasper,casper
jasper,jap
jayme,jay
jean,jane
jean,jeannie
jeanette,janet
jeanette,jean
jeanette,jessie
jeanette,nettie
jeanne,jane
jeanne,jeannie
jebadiah,jeb
jedediah,diah
jedediah,dyer
jedediah,jed
jedidiah,diah
jedidiah,dyer
jedidiah,jed
jefferey,jeff
jefferson,jeff
jefferson,sonny
jeffery,jeff
jeffrey,geoff
jeffrey,jeff
jehiel,hiel
jehu,gee
jehu,hugh
jemima,mima
jennet,jenn
jennet,jenny
jennet,jessie
jennifer,jen
jennifer,jenn
jennifer,jenni
jennifer,jennie
jennifer,jenny
jeremiah,jereme
jeremiah,jerry
jeremy,jez
jeremy,jezza
jerita,rita
jerry,geraldine
jerry,geri
jerry,gerry
jerry,jereme
jessica,jess
jessica,jessie
jessie,jane
jessie,janet
jessie,jess
jillian,jill
jim,jimmie
jincy,jane
jinsy,jane
joan,jo
joan,nonie
joann,jo
joanna,hannah
joanna,jo
joanna,joan
joanna,jodi
joanna,jody
joanne,jo
jody,jo
joe,joey
johann,john
johanna,jo
johannah,hannah
johannah,jo
johannah,joan
johannah,jody
johannah,nonie
johannes,john
johannes,johnny
johannes,jonathan
john,ian
john,jack
john,jock
john,johnny
john,jon
john,jonnie
john,jonny
johnathan,john
johnathan,johnathon
johnathan,johny
johnathan,jon
johnathan,jonathan
johnathan,jonathon
johnathan,jonnie
johnathan,jonny
johnathan,nathan
johnathon,john
johnathon,johnathan
johnathon,johny
johnathon,jon
johnathon,jonathan
johnathon,jonathon
johnathon,jonnie
johnathon,jonny
jon,john
jon,johnny
jon,jonnie
jon,jonny
jonathan,john
jonathan,johnathan
jonathan,johnathon
jonathan,johny
jonathan,jon
jonathan,jonathon
jonathan,jonnie
jonathan,jonny
jonathan,nathan
jonathon,john
jonathon,johnathan
jonathon,johnathon
jonathon,johny
jonathon,jon
jonathon,jonathan
jonathon,jonnie
jonathon,jonny
joseph,jody
joseph,joe
joseph,joey
joseph,jos
josephine,fina
josephine,jo
josephine,jody
josephine,joey
josephine,josey
josephine,josie
josetta,jettie
josey,josophine
joshua,joe
joshua,jos
joshua,josh
josiah,jos
josophine,jo
josophine,joey
josophine,josey
joyce,joy
juanita,nettie
juanita,nita
judah,jude
judah,juder
judith,juda
judith,jude
judith,judi
judith,judie
judith,judy
judson,jud
judson,sonny
judy,judith
julia,jill
julia,jules
julia,julie
julian,jule
julian,jules
julias,jule
julias,jules
julie,jule
julie,jules
julie,julia
june,junius
junior,jr
junior,june
junior,junie
justin,justina
justin,juston
justin,justus
kaitlin,kait
kaitlin,kaitie
kaitlyn,kait
kaitlyn,kaitie
kaitlynn,kait
kaitlynn,kaitie
kalli,cali
kalli,kali
kameron,kam
karla,carla
karla,carly
kasey,k.c.
katarina,catherine
katarina,tina
kate,kay
katelin,kate
katelin,kay
katelin,kaye
katelyn,kate
katelyn,kay
katelyn,kaye
katherine,cassie
katherine,cathy
katherine,kate
katherine,kathy
katherine,katy
katherine,kay
katherine,kaye
katherine,kit
katherine,kittie
katherine,lena
katherine,trina
kathleen,cassie
kathleen,cathy
kathleen,kathy
kathleen,katy
kathleen,kay
kathleen,kit
kathleen,kittie
kathleen,lena
kathleen,trina
kathryn,kate
kathryn,kathy
kathryn,katie
katia,kate
katia,katie
katy,kate
katy,kathy
katy,katie
kayla,kay
kelley,kelli
kelley,kellie
kelley,kelly
kendall,ken
kendall,kenny
kendra,kay
kendra,kenj
kendra,kenji
kendra,kenny
kendrick,ken
kendrick,kenny
kendrik,ken
kendrik,kenny
kenneth,ken
kenneth,kendrick
kenneth,kenny
kenny,ken
kenny,kenneth
kent,ken
kent,kendrick
kent,kenny
kerry,kerri
kevin,kev
keziah,kizza
keziah,kizzie
kimberley,kim
kimberley,kimberli
kimberley,kimberly
kimberly,kim
kimberly,kimberley
kimberly,kimberli
kingsley,king
kingston,king
kit,kittie
kris,chris
kristel,kris
kristen,chris
kristin,chris
kristine,chris
kristine,christy
kristine,crissy
kristine,kris
kristine,kristy
kristine,tina
kristofer,chris
kristofer,kris
kristoffer,chris
kristoffer,kris
kristopher,chris
kristopher,kris
kristy,chris
kymberly,kym
lafayette,fate
lafayette,laffie
lamont,monty
laodicia,cenia
laodicia,dicy
larry,laurence
larry,lawrence
latisha,tish
latisha,tisha
laurel,laurie
lauren,laurie
lauren,ren
laurence,larry
laurence,lon
laurence,lonny
laurence,lorne
laurence,lorry
laurinda,laura
laurinda,lawrence
lauryn,laurie
laveda,veda
laverne,verna
laverne,vernon
lavina,ina
lavina,vina
lavina,viney
lavinia,ina
lavinia,vina
lavinia,viney
lavonia,vina
lavonia,viney
lavonia,vonnie
lavonia,wyncha
lavonne,von
lawrence,larry
lawrence,lawrie
lawrence,lon
lawrence,lonny
lawrence,lorne
lawrence,lorry
leanne,annie
leanne,lea
lecurgus,curg
leeann,lee
leilani,lani
lemuel,lem
lena,ellen
lenora,lee
lenora,nora
leo,leon
leonard,len
leonard,lenny
leonard,leo
leonard,leon
leonard,lineau
leonidas,lee
leonidas,leon
leonora,nell
leonora,nellie
leonora,nora
leonore,elenor
leonore,honor
leonore,nora
leroy,l.r.
leroy,lee
leroy,roy
lesley,les
leslie,les
lester,les
letitia,lettice
letitia,lettie
letitia,tish
letitia,titia
levi,lee
levicy,vicy
levone,von
lib,libby
lidia,lyddy
lil,lilly
lil,lily
lillah,lil
lillah,lilly
lillah,lily
lillah,lolly
lillian,lil
lillian,lilly
lillian,lolly
lilly,lil
lilly,lily
lincoln,link
linda,lindy
linda,lynn
lindsay,lindsey
lindsay,lindsie
lindsay,lindsy
lindy,lynn
lionel,leon
lisa,liz
littleberry,berry
littleberry,l.b.
littleberry,little
lizzie,liz
lois,lou
lois,louise
lonzo,lon
lorelei,laurie
lorelei,lori
lorelei,lorrie
lorenzo,loren
loretta,etta
loretta,lorie
loretta,lorrie
loretta,retta
lorraine,lorie
lorraine,lorrie
lotta,lottie
lou,louis
lou,lu
louis,lewis
louis,lou
louis,louie
louis,louise
louisa,eliza
louisa,lois
louisa,lou
louise,eliza
louise,lois
louise,lou
louiselynn,louise
louvinia,vina
louvinia,viney
louvinia,vonnie
louvinia,wyncha
lucas,luke
lucia,lucius
lucia,lucy
lucias,luke
lucille,cille
lucille,lou
lucille,lu
lucille,lucy
lucina,sinah
lucinda,cindy
lucinda,lou
lucinda,lu
lucinda,lucy
lucretia,creasey
lucy,lucinda
luella,ella
luella,lu
luella,lula
luke,lucas
lunetta,nettie
lurana,lura
luther,luke
lydia,lyddy
lyndon,lindy
lyndon,lynn
mabel,amabel
mabel,mehitabel
mac,mc
mack,mac
mack,mc
mackenzie,kenzy
mackenzie,mac
mackenzie,mack
maddison,maddi
maddison,maddie
maddy,madeline
maddy,madelyn
maddy,madge
madeline,lena
madeline,maddi
madeline,maddie
madeline,maddy
madeline,madge
madeline,madie
madeline,magda
madeline,maggie
madeline,maud
madelyn,maddy
madelyn,madie
madie,madeline
madie,madelyn
madison,maddy
madison,mattie
maegen,meg
magdalena,lena
magdalena,maggie
magdelina,lena
magdelina,madge
magdelina,magda
magdelina,maggie
mahala,hallie
makayla,kayla
malachi,mally
malcolm,mac
malcolm,mal
malcolm,malc
malinda,lindy
manda,mandy
mandie,amanda
mandy,amanda
manerva,eve
manerva,minerva
manerva,nerva
manerva,nervie
manny,manuel
manoah,noah
manola,nonnie
manuel,emanuel
manuel,manny
marcus,marc
marcus,mark
margaret,daisy
margaret,gretta
margaret,madge
margaret,maggie
margaret,maggy
margaret,marge
margaret,margery
margaret,margie
margaret,margy
margaret,meg
margaret,midge
margaret,peg
margaret,peggy
margaret,rita
margaretta,daisy
margaretta,gretta
margaretta,madge
margaretta,maggie
margaretta,marge
margaretta,margery
margaretta,margie
margaretta,meg
margaretta,midge
margaretta,peg
margaretta,peggy
margaretta,rita
margarita,daisy
margarita,greta
margarita,madge
margarita,maggie
margarita,maisie
margarita,marge
margarita,margo
margarita,meg
margarita,megan
margarita,metta
margarita,midge
margarita,peggie
margarita,rita
marge,margaret
marge,margaretta
marge,margery
margie,marjorie
marguerite,peggy
mariah,maria
mariah,mary
marian,marianna
marian,marion
marie,mae
marie,mary
marietta,mae
marietta,mamie
marietta,maria
marietta,mariah
marietta,marie
marietta,marion
marietta,mary
marietta,maureen
marietta,may
marietta,mercy
marietta,minnie
marietta,mitzi
marietta,mollie
marietta,molly
marietta,polly
marilyn,mary
marion,mary
marissa,rissa
marjorie,margie
marjorie,margy
marni,marnie
marsha,marcia
marsha,marcie
marsha,mary
martha,marty
martha,mat
martha,mattie
martha,patsy
martha,patty
martin,marty
martina,tina
martine,tine
marv,marvin
marvin,marv
mary,mae
mary,mamie
mary,marie
mary,mitzi
mary,molly
mary,polly
masayuki,masa
mat,mattie
mathew,mat
mathew,matt
mathew,maty
mathilda,patty
mathilda,tillie
matilda,matty
matilda,maud
matilda,tilla
matilda,tilly
matthew,matt
matthew,mattie
matthew,matty
matthew,thias
matthew,thys
matthews,matt
matthews,mattie
matthews,matty
matthias,matt
matthias,thias
matthias,thys
maud,middy
maureen,mary
maurice,morey
mavery,mave
mavine,mave
maximilian,max
