jid,name,fips,county_name,gov_type
01089001,HUNTSVILLE CITY,01089,Madison,municipal
01089002,MADISON COUNTY SHERIFFS OFFICE,01089,Madison,county
01091001,DEMOPOLIS CITY JAIL,01091,Marengo,municipal
01091002,MARENGO COUNTY DET. CTR.,01091,Marengo,county
01093001,MARION COUNTY JAIL,01093,Marion,county
01095001,ALBERTVILLE CITY JAIL,01095,Marshall,municipal
01095002,MARSHALL COUNTY JAIL,01095,Marshall,county
01095003,ARAB CITY JAIL,01095,Marshall,municipal
01095004,BOAZ CITY JAIL,01095,Marshall,municipal
01095005,GUNTERSVILLE POLICE DEPARTMENT,01095,Marshall,municipal
01097001,MOBILE CITY JAIL,01097,Mobile,municipal
01097002,MOBILE COUNTY JAIL,01097,Mobile,county
01097003,PRICHARD CITY JAIL,01097,Mobile,municipal
01097004,SATSUMA CITY JAIL,01097,Mobile,municipal
01097005,CHICKASAW CITY JAIL,01097,Mobile,municipal
01097006,SARALAND CITY JAIL,01097,Mobile,municipal
01097007,CITRONELLE CITY JAIL,01097,Mobile,municipal
01097008,BAYOU LA BATRE CITY JAIL,01097,Mobile,municipal
01097009,MT. VERNON CITY JAIL,01097,Mobile,municipal
01097010,CREOLA POLICE DEPARTMENT,01097,Mobile,municipal
01099001,,01099,Monroe,municipal
01099002,MONROE COUNTY JAIL,01099,Monroe,county
01101001,MONTGOMERY COUNTY SHERIFFS OFFICE,01101,Montgomery,county
01101002,MONTGOMERY MUNICIPAL JAIL,01101,Montgomery,municipal
01103001,DECATUR CITY JAIL,01103,Morgan,municipal
01103002,MORGAN COUNTY SHERIFFS OFFICE,01103,Morgan,county
01103003,HARTSELLE CITY JAIL,01103,Morgan,municipal
01105001,JAMES HOOD DETENTION FACILITY,01105,Perry,county
01105002,MARION CITY JAIL,01105,Perry,municipal
01107001,PICKENS COUNTY JAIL,01107,Pickens,county
01109001,PIKE COUNTY JAIL,01109,Pike,county
01109002,TROY CITY JAIL,01109,Pike,municipal
01111001,RANDOLPH COUNTY JAIL,01111,Randolph,county
01111002,ROANOKE CITY JAIL,01111,Randolph,municipal
01113001,PHENIX CITY JAIL,01113,Russell,municipal
01113002,RUSSELL COUNTY SHERIFF'S DEPARTMENT,01113,Russell,county
01115001,ST. CLAIR COUNTY JAIL - ASHVILLE,01115,StClair,county
01117001,SHELBY COUNTY SHERIFF'S OFFICE,01117,Shelby,county
01117002,MONTEVALLO CITY JAIL,01117,Shelby,municipal
01117003,ALABASTER CITY JAIL,01117,Shelby,municipal
01117004,HELENA CITY JAIL,01117,Shelby,municipal
01119001,SUMTER COUNTY JAIL,01119,Sumter,county
01121001,SYLACAUGA CITY JAIL,01121,Talladega,municipal
01121002,TALLADEGA CITY JAIL,01121,Talladega,municipal
01121003,TALLADEGA COUNTY SHERIFF'S OFFICE/JAIL,01121,Talladega,county
01121004,CHILDERSBURG CITY JAIL,01121,Talladega,municipal
01121005,LINCOLN CITY JAIL,01121,Talladega,municipal
01123001,ALEXANDER CITY JAIL,01123,Tallapoosa,municipal
01123002,TALLAPOOSA COUNTY JAIL,01123,Tallapoosa,county
01125001,,01125,Tuscaloosa,municipal
01125002,TUSCALOOSA COUNTY SHERIFFS OFFICE,01125,Tuscaloosa,county
01127001,CARBON HILL CITY JAIL,01127,Walker,municipal
01127002,WALKER COUNTY JAIL,01127,Walker,county
01127003,CITY JAIL,01127,Walker,municipal
01127004,SUMITON CITY JAIL,01127,Walker,municipal
01127005,CORDOVA CITY,01127,Walker,municipal
01129001,WASHINGTON COUNTY SHERIFFS OFFICE,01129,Washington,county
01131001,WILCOX COUNTY DETENTION CENTER,01131,Wilcox,county
01133001,WINSTON COUNTY JAIL,01133,Winston,county
01133002,HALEYVILLE CITY JAIL,01133,Winston,municipal
02013001,UNALASKA CITY JAIL,02013,AleutiansEast,municipal
02050001,BRISTOL BAY BOROUGH JAIL,02050,Bethel,county
02060001,DILLINGHAM CITY JAIL,02060,BristolBay,municipal
02070001,HAINES CITY JAIL,02070,Dillingham,municipal
02100001,SEWARD COMMUNITY JAIL,02100,Haines,municipal
02100002,HOMER CITY JAIL,02100,Haines,municipal
02110001,KOTZEBUE REGIONAL JAIL,02110,Juneau,municipal
02122001,KODIAK CITY JAIL,02122,KenaiPeninsula,municipal
02164001,BARROW CITY JAIL,02164,LakeandPeninsula,municipal
02170001,CRAIG CITY JAIL,02170,Matanuska-Susitna,municipal
02180001,SITKA CITY JAIL,02180,Nome,municipal
02195001,CORDOVA CITY JAIL,02195,Petersburg,municipal
02195002,VALDEZ CITY JAIL,02195,Petersburg,municipal
02220001,PETERSBURG CITY JAIL,02220,Sitka,municipal
02220002,WRANGELL CITY JAIL,02220,Sitka,municipal
02270001,,02270,WadeHampton,municipal
02275001,,02275,Wrangell ,municipal
02290001,,02290,Yukon-Koyukuk,municipal
04001001,APACHE COUNTY JAIL,04001,Apache,county
04003001,,04003,Cochise,municipal
04003002,,04003,Cochise,municipal
04003003,,04003,Cochise,municipal
04003004,CITY JAIL,04003,Cochise,municipal
04003005,COCHISE COUNTY JAIL,04003,Cochise,county
04005001,,04005,Coconino,municipal
04005002,COCONINO COUNTY SHERIFFS OFFICE,04005,Coconino,county
04007001,GILA COUNTY JAIL,04007,Gila,county
04007002,MIAMI CITY JAIL,04007,Gila,municipal
04009001,GRAHAM COUNTY DET. CTR.,04009,Graham,county
04011001,GREENLEE COUNTY CORR. FAC.,04011,Greenlee,county
04012001,LA PAZ COUNTY ADULT DETENTION FACILITY,04012,LaPaz,county
04013001,,04013,Maricopa,municipal
04013002,,04013,Maricopa,municipal
04013003,,04013,Maricopa,municipal
04013004,,04013,Maricopa,municipal
04013005,,04013,Maricopa,municipal
04013006,,04013,Maricopa,municipal
04013007,AVONDALE CITY JAIL,04013,Maricopa,municipal
04013008,CITY JAIL,04013,Maricopa,municipal
04013009,CITY JAIL,04013,Maricopa,municipal
04013010,EL MIRAGE CITY JAIL,04013,Maricopa,municipal
04013011,MARICOPA COUNTY SHERIFF'S OFFICE,04013,Maricopa,county
04013012,TOLLESON CITY JAIL,04013,Maricopa,municipal
04015001,,04015,Mohave,municipal
04015002,MOHAVE COUNTY SHERIFF'S OFFICE,04015,Mohave,county
04017001,,04017,Navajo,municipal
04017002,NAVAJO COUNTY SHERIFFS OFFICE,04017,Navajo,county
04017003,WINSLOW CITY JAIL,04017,Navajo,municipal
04019001,PIMA COUNTY SHERIFF'S DEPARTMENT,04019,Pima,county
04019002,,04019,Pima,municipal
04021001,,04021,Pinal,municipal
04021002,COOLIDGE CITY JAIL,04021,Pinal,municipal
04021003,ELROY CITY JAIL,04021,Pinal,municipal
04021004,PINAL COUNTY SHERIFF'S OFFICE,04021,Pinal,county
04023001,SANTA CRUZ COUNTY JAIL,04023,SantaCruz,county
04025001,YAVAPAI COUNTY SHERIFFS OFFICE,04025,Yavapai,county
04025002,CAPE VERDE MARSHAL DEPT,04025,Yavapai,municipal
04027001,,04027,Yuma,municipal
04027002,YUMA COUNTY SHERIFF'S OFFICE,04027,Yuma,county
05001001,ARKANSAS COUNTY DET. CTR.,05001,Arkansas,county
05001002,STUTTGART CITY JAIL,05001,Arkansas,municipal
05003001,,05003,Ashley,municipal
05003002,ASHLEY COUNTY JAIL,05003,Ashley,county
05003003,CROSSETT CITY JAIL,05003,Ashley,municipal
05005001,BAXTER COUNTY JAIL,05005,Baxter,county
05007001,,05007,Benton,municipal
05007002,,05007,Benton,municipal
05007003,BENTON COUNTY SHERIFFS OFFICE,05007,Benton,county
05007004,SILOAM SPRINGS CITY JAIL,05007,Benton,municipal
05009001,,05009,Boone,municipal
05009002,BOONE COUNTY LAW ENF. CTR.,05009,Boone,county
05011001,,05011,Bradley,county
05011002,WARREN CITY JAIL,05011,Bradley,municipal
05013001,CALHOUN COUNTY DETENTION CENTER,05013,Calhoun,county
05015001,CARROLL COUNTY DET. CTR.,05015,Carroll,county
05017001,,05017,Chicot,municipal
05017002,CHICOT COUNTY LAKE VILLAGE JAIL,05017,Chicot,county
05017003,LAKE VILLAGE CITY JAIL,05017,Chicot,municipal
05019001,CLARK COUNTY JAIL,05019,Clark,county
05021001,,05021,Clay,municipal
05021002,CLAY COUNTY JAIL,05021,Clay,county
05023001,CLEBURNE COUNTY JAIL,05023,Cleburne,county
05025001,CLEVELAND COUNTY JAIL,05025,Cleveland,county
05027001,,05027,Columbia,municipal
05027002,COLUMBIA COUNTY JAIL,05027,Columbia,county
05029001,CITY JAIL,05029,Conway,municipal
05029002,CONWAY COUNTY DET. CTR.,05029,Conway,county
05031001,CRAIGHEAD COUNTY DET. CTR.,05031,Craighead,county
05033001,CRAWFORD COUNTY JAIL,05033,Crawford,county
05035001,CRITTENDEN COUNTY SHERIFFS OFFICE,05035,Crittenden,county
05035002,WEST MEMPHIS JAIL,05035,Crittenden,municipal
05037001,,05037,Cross,municipal
05037002,,05037,Cross,municipal
05037003,CROSS COUNTY JAIL AND DETENTION CENTER,05037,Cross,county
05039001,DALLAS COUNTY JAIL,05039,Dallas,county
05041001,COUNTY JAIL,05041,Desha,county
05041002,DUMAS CITY JAIL,05041,Desha,municipal
05043001,,05043,Drew,municipal
05043002,DREW COUNTY DETENTION FACILITY,05043,Drew,county
05045001,FAULKNER COUNTY DETENTION CENTER,05045,Faulkner,county
05047001,FRANKLIN COUNTY JAIL,05047,Franklin,county
05049001,FULTON COUNTY JAIL,05049,Fulton,county
05051001,,05051,Garland,municipal
05051002,GARLAND COUNTY CRIMINAL DETENTION FACILITY,05051,Garland,county
05053001,SHERIDAN POLICE DEPARTMENT,05053,Grant,county
05055001,GREENE COUNTY JAIL,05055,Greene,county
05057001,HEMPSTEAD COUNTY JAIL,05057,Hempstead,county
05059001,HOT SPRING COUNTY JAIL,05059,HotSpring,county
05061001,HOWARD COUNTY DETENTION FACILITY,05061,Howard,county
05063001,,05063,Independence,municipal
05063002,INDEPENDENCE COUNTY JAIL,05063,Independence,county
05065001,IZARD COUNTY JAIL,05065,Izard,county
05067001,,05067,Jackson,municipal
05067002,JACKSON COUNTY DET. CTR.,05067,Jackson,county
05069001,CITY JAIL,05069,Jefferson,municipal
05069002,W. C. DUB BRASSELL ADULT DETENTION FACILITY,05069,Jefferson,county
05071001,JOHNSON COUNTY JAIL,05071,Johnson,county
05073001,LAFAYETTE COUNTY JAIL,05073,Lafayette,county
05075001,,05075,Lawrence,municipal
05075002,,05075,Lawrence,municipal
05075003,LAWRENCE COUNTY JAIL,05075,Lawrence,county
05077001,LEE COUNTY,05077,Lee,county
05077002,MARIANNA CITY JAIL,05077,Lee,municipal
05079001,,05079,Lincoln,municipal
05079002,LINCOLN COUNTY JAIL,05079,Lincoln,county
05081001,LITTLE RIVER COUNTY JAIL,05081,LittleRiver,county
05083001,,05083,Logan,municipal
05083002,CITY JAIL,05083,Logan,municipal
05083003,LOGAN COUNTY DETENTION CENTER,05083,Logan,county
05085001,LONOKE COUNTY DET. CTR.,05085,Lonoke,county
05085002,CABOT CITY JAIL,05085,Lonoke,municipal
05087001,MADISON COUNTY JAIL,05087,Madison,county
05089001,MARION COUNTY LAW ENF. CTR.,05089,Marion,county
05091001,,05091,Miller,municipal
05091002,MILLER COUNTY JAIL,05091,Miller,county
05093001,BLYTHEVILLE CITY JAIL,05093,Mississippi,municipal
05093002,MISSISSIPPI COUNTY DET. CTR.,05093,Mississippi,county
05093003,OSCEOLA CITY JAIL,05093,Mississippi,municipal
05095001,MONROE COUNTY DETENTION CENTER,05095,Monroe,county
05095002,BRINKLEY CITY JAIL,05095,Monroe,municipal
05097001,MONTGOMERY COUNTY JAIL,05097,Montgomery,county
05099001,NEVADA COUNTY JAIL,05099,Nevada,county
05101001,NEWTON COUNTY JAIL,05101,Newton,county
05103001,OUACHITA COUNTY JAIL,05103,Ouachita,county
05105001,PERRY COUNTY DETENTION CENTER,05105,Perry,county
05107001,,05107,Phillips,municipal
05107002,CITY JAIL,05107,Phillips,municipal
05107003,PHILLIPS COUNTY JAIL,05107,Phillips,county
05109001,PIKE COUNTY JAIL,05109,Pike,county
05111001,POINSETT COUNTY DET. CTR.,05111,Poinsett,county
05113001,POLK COUNTY JAIL,05113,Polk,county
05115001,POPE COUNTY DET. CTR.,05115,Pope,county
05117001,PRAIRIE COUNTY JAIL,05117,Prairie,county
05119001,LITTLE ROCK CITY JAIL,05119,Pulaski,municipal
05119002,NORTH LITTLE ROCK CITY JAIL,05119,Pulaski,municipal
05119003,PULASKI COUNTY SHERIFFS OFFICE,05119,Pulaski,county
05119004,JACKSONVILLE CITY JAIL,05119,Pulaski,municipal
05119005,MAUMELLE CITY JAIL,05119,Pulaski,municipal
05121001,RANDOLPH COUNTY LAW ENFORCEMENT DETENTION CENTER,05121,Randolph,county
05121002,POCAHONTAS CITY JAIL,05121,Randolph,municipal
05123001,ST. FRANCIS COUNTY JAIL,05123,StFrancis,county
05125001,,05125,Saline,municipal
05125002,SALINE COUNTY DET. FAC.,05125,Saline,county
05127001,SCOTT COUNTY DETENTION CENTER,05127,Scott,county
05127002,,05127,Scott,municipal
05129001,,05129,Searcy,municipal
05129002,SEARCY COUNTY JAIL,05129,Searcy,county
05131001,SEBASTIAN COUNTY SHERIFFS OFFICE,05131,Sebastian,county
05133001,SEVIER COUNTY JAIL,05133,Sevier,county
05135001,SHARP COUNTY DET. CTR.,05135,Sharp,county
05137001,STONE COUNTY DET. FAC.,05137,Stone,county
05139001,CITY JAIL,05139,Union,municipal
05139002,UNION COUNTY CRIMINAL JUSTICE FACILITY,05139,Union,county
05141001,VAN BUREN COUNTY DET. CTR.,05141,VanBuren,county
05143001,FAYETTEVILLE CITY JAIL,05143,Washington,municipal
05143002,SPRINGDALE CITY JAIL,05143,Washington,municipal
05143003,WASHINGTON COUNTY SHERIFFS OFFICE,05143,Washington,county
05145001,WHITE COUNTY SHERIFFS OFFICE,05145,White,county
05147001,WOODRUFF COUNTY JAIL,05147,Woodruff,county
05149001,YELL COUNTY JAIL - DANVILLE,05149,Yell,county
06001001,,06001,Alameda,municipal
06001002,ALAMEDA COUNTY SHERIFFS OFFICE,06001,Alameda,county
06001003,OAKLAND CITY POLICE DEPARTMENT JAIL,06001,Alameda,municipal
06005001,AMADOR COUNTY SHERIFF'S OFFICE,06005,Amador,county
06007001,,06007,Butte,municipal
06007002,BUTTE COUNTY SHERIFFS OFFICE,06007,Butte,county
06009001,CALAVERAS COUNTY SHERIFFS OFFICE,06009,Calaveras,county
06011001,COLUSA COUNTY SHERIFFS OFFICE,06011,Colusa,county
06013001,,06013,ContraCosta,municipal
06013002,CONTRA COSTA COUNTY SHERIFFS OFFICE,06013,ContraCosta,county
06015001,DEL NORTE COUNTY SHERIFFS OFFICE,06015,DelNorte,county
06017001,EL DORADO COUNTY SHERIFF'S OFFICE,06017,ElDorado,county
06019001,,06019,Fresno,municipal
06019002,,06019,Fresno,municipal
06019003,,06019,Fresno,municipal
06019004,,06019,Fresno,municipal
06019005,FRESNO COUNTY SHERIFF CORONER'S OFFICE,06019,Fresno,county
06021001,GLENN COUNTY SHERIFFS OFFICE,06021,Glenn,county
06023001,HUMBOLDT COUNTY SHERIFFS OFFICE,06023,Humboldt,county
06025001,,06025,Imperial,municipal
06025002,,06025,Imperial,municipal
06025003,,06025,Imperial,municipal
06025004,,06025,Imperial,municipal
06025005,IMPERIAL COUNTY SHERIFF'S OFFICE,06025,Imperial,county
06027001,,06027,Inyo,municipal
06027002,INYO COUNTY SHERIFFS OFFICE,06027,Inyo,county
06029001,,06029,Kern,municipal
06029002,KERN COUNTY SHERIFFS OFFICE,06029,Kern,county
06029003,,06029,Kern,municipal
06031001,KINGS COUNTY SHERIFFS OFFICE,06031,Kings,county
06033001,LAKE COUNTY SHERIFF'S OFFICE,06033,Lake,county
06035001,LASSEN COUNTY ADULT DETENTION FACILITY,06035,Lassen,county
06037001,,06037,LosAngeles,municipal
06037002,,06037,LosAngeles,municipal
06037003,,06037,LosAngeles,municipal
06037004,,06037,LosAngeles,municipal
06037005,,06037,LosAngeles,municipal
06037006,,06037,LosAngeles,municipal
06037007,,06037,LosAngeles,municipal
06037008,,06037,LosAngeles,municipal
06037009,,06037,LosAngeles,municipal
06037010,CITY JAIL,06037,LosAngeles,municipal
06037011,CITY JAIL,06037,LosAngeles,municipal
06037012,GLENDALE  POLICE DEPARTMENT,06037,LosAngeles,municipal
06037013,LONG BEACH POLICE DEPARTMENT,06037,LosAngeles,municipal
06037014,LOS ANGELES COUNTY SHERIFF'S DEPARTMENT,06037,LosAngeles,county
06037015,WHITTIER POLICE DEPARTMENT,06037,LosAngeles,municipal
06037016,METRO DETENTION CENTER,06037,LosAngeles,federal
06037017,ALHAMBRA CITY JAIL,06037,LosAngeles,private
06037018,BALDWIN PARK CITY JAIL- CORRECT. SYSTEMS INC.,06037,LosAngeles,private
06037019,"BELL CITY JAIL- CORRECTIONAL SYSTEMS, INC.",06037,LosAngeles,private
06037020,GLENDORA CITY JAIL,06037,LosAngeles,municipal
06037021,HAWTHORNE CITY JAIL,06037,LosAngeles,municipal
06037022,"MONTEBELLO POLICE DEPARTMENT CITY JAILA- GEO GROUP, INC.",06037,LosAngeles,private
06037023,MONTEREY PARK POLICE DEPARTMENT,06037,LosAngeles,municipal
06039001,MADERA COUNTY DEPARTMENT OF CORRECTIONS,06039,Madera,county
06041001,MARIN COUNTY SHERIFFS OFFICE,06041,Marin,county
06043001,MARIPOSA COUNTY SHERIFFS OFFICE,06043,Mariposa,county
06045001,,06045,Mendocino,municipal
06045002,MENDOCINO COUNTY SHERIFFS OFFICE,06045,Mendocino,county
06047001,LOS BANOS CITY JAIL,06047,Merced,municipal
06047002,MERCED COUNTY SHERIFFS OFFICE,06047,Merced,county
06049001,MODOC COUNTY SHERIFFS OFFICE,06049,Modoc,county
06051001,MONO COUNTY SHERIFFS OFFICE,06051,Mono,county
06053001,,06053,Monterey,municipal
06053002,MONTEREY COUNTY SHERIFFS OFFICE,06053,Monterey,county
06055001,NAPA COUNTY DEPARTMENT OF CORRECTIONS,06055,Napa,county
06057001,NEVADA COUNTY SHERIFFS OFFICE,06057,Nevada,county
06059001,,06059,Orange,municipal
06059002,,06059,Orange,municipal
06059003,,06059,Orange,municipal
06059004,,06059,Orange,municipal
06059005,ANAHEIM POLICE DEPARTMENT,06059,Orange,municipal
06059006,CITY JAIL,06059,Orange,municipal
06059007,COSTA MESA CITY JAIL,06059,Orange,municipal
06059008,ORANGE COUNTY SHERIFF'S DEPARTMENT,06059,Orange,county
06059009,SEAL BEACH POLICE DEPARTMENT DETENTION CENTER,06059,Orange,municipal
06059010,SANTA ANA POLICE DEPARTMENT,06059,Orange,municipal
06061001,PLACER COUNTY SHERIFF'S OFFICE,06061,Placer,county
06063001,PLUMAS COUNTY SHERIFFS CORRECTIONAL FACILITY,06063,Plumas,county
06065001,,06065,Riverside,municipal
06065002,,06065,Riverside,municipal
06065003,CITY JAIL,06065,Riverside,municipal
06065004,RIVERSIDE COUNTY SHERIFF'S DEPARTMENT,06065,Riverside,county
06067001,,06067,Sacramento,municipal
06067002,SACRAMENTO COUNTY SHERIFFS OFFICE - RIO COSUMNES CORRECTIONAL CENTER (RCCC),06067,Sacramento,county
06069001,SAN BENITO COUNTY SHERIFFS OFFICE,06069,SanBenito,county
06071001,,06071,SanBernardino,municipal
06071002,,06071,SanBernardino,municipal
06071003,,06071,SanBernardino,municipal
06071004,SAN BERNARDINO COUNTY SHERIFF-CORONER DEPARTMENT,06071,SanBernardino,county
06073001,SAN DIEGO CITY,06073,SanDiego,municipal
06073002,SAN DIEGO COUNTY SHERIFF'S DEPARTMENT,06073,SanDiego,county
06073003,METRO CORRECTIONAL CTR,06073,SanDiego,federal
06073004,CORRECTIONAL ALTERNATIVES,06073,SanDiego,private
06075001,SAN FRANCISCO SHERIFFS DEPARTMENT,06075,SanFrancisco,municipal
06077001,SAN JOAQUIN COUNTY SHERIFFS OFFICE,06077,SanJoaquin,county
06079001,SAN LUIS OBISPO COUNTY SHERIFFS OFFICE,06079,SanLuisObispo,county
06081001,SAN MATEO COUNTY SHERIFFS OFFICE,06081,SanMateo,county
06083001,,06083,SantaBarbara,municipal
06083002,,06083,SantaBarbara,municipal
06083003,CITY JAIL,06083,SantaBarbara,municipal
06083004,SANTA BARBARA COUNTY SHERIFFS OFFICE,06083,SantaBarbara,county
06085001,,06085,SantaClara,municipal
06085002,SANTA CLARA COUNTY SHERIFF'S OFFICE,06085,SantaClara,county
06087001,SANTA CRUZ COUNTY SHERIFFS OFFICE,06087,SantaCruz,county
06089001,SHASTA COUNTY SHERIFF'S OFFICE,06089,Shasta,county
06091001,SIERRA COUNTY SHERIFFS OFFICE,06091,Sierra,county
06093001,,06093,Siskiyou,municipal
06093002,SISKIYOU COUNTY SHERIFFS DEPARTMENT,06093,Siskiyou,county
06095001,SOLANO COUNTY SHERIFF'S OFFICE,06095,Solano,county
