vera_jid,facility_uid,facility_name,year,rated_capacity
01081002,01CNT04104106000,LEE COUNTY DETENTION CENTER,2006,238.0
01081002,01CNT04104106100,,2018,424.0
01083002,01CNT04204206100,Limestone Co. Jail,2013,288.0
01085001,01CNT04304306000,LOWDNES COUNTY,2004,109.0
01085001,01CNT04304306100,,2018,119.0
01087001,01CNT04404406000,MACON COUNTY,1998,30.0
01087001,01CNT04404406100,Macon County Law Enforcement Center,2013,84.0
01089002,01CNT04504506000,,2018,1200.0
01089002,01CNT04504506100,MADISON COUNTY JAIL,1993,220.0
01089002,01CNT04504506200,MADISON CO JAIL ANNEX,1993,340.0
01089002,01CNT04504509000,MADISON COUNTY,1993,
01091002,01CNT04604606000,MARENGO COUNTY,1998,118.0
01091002,01CNT04604606100,Marengo Co. Det. Ctr.,2013,118.0
01093001,01CNT04704706100,,1978,34.0
01093001,01CNT04704706200,Marion Co. Jail,2013,86.0
01095002,01CNT04804806000,MARSHALL COUNTY,1998,98.0
01095002,01CNT04804806100,MARSHALL COUNTY JAIL,2006,
01097002,01CNT04904906000,MOBILE COUNTY JAIL,2006,1164.0
01097002,01CNT04904906100,COUNTY JAIL,1988,264.0
01097002,01CNT04904906200,MOBILE COUNTY JAIL,2014,1630.0
01099002,01CNT05005006000,MONROE COUNTY,2004,54.0
01099002,01CNT05005006100,Monroe Co. Jail,2013,203.0
01101001,01CNT05105106000,MONTGOMERY COUNTY DETENTION FACILITY,2006,561.0
01101001,01CNT05105106100,,2018,1290.0
01103002,01CNT05205206000,,1992,96.0
01103002,01CNT05205206100,,2018,960.0
01105001,01CNT05305306000,,1987,40.0
01105001,01CNT05305306100,James Hood Detention Facility,2013,18.0
01107001,01CNT05405406100,Pickens Co. Jail,2013,220.0
01109001,01CNT05505506000,,1992,40.0
01109001,01CNT05505506100,Pike Co. Jail,2013,60.0
01109001,01CNT05505506200,,1970,44.0
01111001,01CNT05605606000,RANDOLPH COUNTY JAIL,2006,36.0
01111001,01CNT05605606100,RANDOLPH COUNTY JAIL,2014,70.0
01113002,01CNT05705706000,RUSSELL COUNTY JAIL,2006,205.0
01113002,01CNT05705706100,,2018,540.0
01113002,01CNT05705706200,RUSSELL COUNTY MIN SECURITY,1988,48.0
01115001,01CNT05805806000,St. Clair Co. Jail - Ashville,2013,218.0
01115001,01CNT05805806100,ST CLAIR COUNTY JAIL,1993,26.0
01115001,01CNT05805806200,ST CLAIR COUNTY JAIL,1993,26.0
01115001,01CNT05805806300,,1970,10.0
01115001,01CNT05805809000,ST CLAIR COUNTY,1993,
01117001,01CNT05905906000,,1987,124.0
01117001,01CNT05905906100,,2018,544.0
01119001,01CNT06006006000,,1992,26.0
01119001,01CNT06006006100,Sumter Co. Jail,2013,136.0
01121003,01CNT06106106000,TALLEDEGA COUNTY JAIL,2006,125.0
01121003,01CNT06106106100,,2018,386.0
01123002,01CNT06206206000,TALLAPOOSA COUNTY,2004,142.0
01123002,01CNT06206206100,Tallapoosa Co. Jail,2013,147.0
01125002,01CNT06306306000,TUSCALOOSA COUNTY JAIL,2006,570.0
01125002,01CNT06306306100,,2018,540.0
01125002,01CNT06306306200,tuscaloosa metropolitan,1993,142.0
01125002,01CNT06306309000,TUSCALOOSA COUNTY,1993,
01127002,01CNT06406406000,WALKER COUNTY JAIL,2006,240.0
01127002,01CNT06406406100,,1978,80.0
01127002,01CNT06406406200,WALKER COUNTY JAIL,2014,273.0
01129001,01CNT06506506100,,2018,59.0
01131001,01CNT06606606000,WILCOX COUNTY JAIL,2006,64.0
01131001,01CNT06606606100,WILCOX COUNTY DETENTION CENTER,2010,64.0
01133001,01CNT06706706100,Winston Co. Jail,2013,96.0
01001002,01MUN00100306100,PRATTVILLE CITY JAIL,1999,40.0
01003004,01MUN00200206100,Daphne City Jail,2013,54.0
01003003,01MUN00200406100,Fairhope City Jail,2013,64.0
01003002,01MUN00200506100,,2018,55.0
01003005,01MUN00240106100,Orange Beach City Jail,2013,32.0
01005001,01MUN00300406100,,1970,20.0
01009002,01MUN00500106100,BLOUNTSVILLE CITY JAIL,1993,8.0
01015001,01MUN00800106000,ANNISTON CITY,2004,88.0
01015001,01MUN00800106100,Anniston City Jail,2013,44.0
01015003,01MUN00800406100,Jacksonville City Jail,2013,9.0
01015004,01MUN00800606100,Oxford City Jail,2013,30.0
01015005,01MUN00800706100,,2018,11.0
01017001,01MUN00900306100,,1970,16.0
01021002,01MUN01100106100,,1983,16.0
01025002,01MUN01300406100,JACKSON CITY JAIL,2005,6.0
01031001,01MUN01600206100,CITY JAIL,1988,17.0
01033002,01MUN01700506100,Sheffield City Jail,2013,22.0
01037002,01MUN01900106100,Goodwater City Jail,2013,6.0
01039002,01MUN02000506100,Opp City Jail,2013,16.0
01041002,01MUN02100406100,LUVERNE CITY JAIL,1999,10.0
01043002,01MUN02200106000,CULLMAN CITY,2004,25.0
01043002,01MUN02200106100,CULLMAN CITY JAIL,1999,25.0
01043003,01MUN02200306100,Hanceville City Jail,2013,13.0
01045001,01MUN02300406100,CITY JAIL,1988,22.0
01047002,01MUN02400206100,SELMA CITY JAIL,1999,16.0
01049004,01MUN02500106100,Collinsville City Jail,2013,8.0
01049005,01MUN02500206100,CROSSVILLE CITY JAIL,2006,
01049002,01MUN02500306000,FORT PAYNE CITY JAIL,2006,50.0
01049002,01MUN02500306100,FORT PAYNE CITY JAIL,2014,50.0
01049003,01MUN02500706100,RAINSVILLE CITY JAIL,2006,
01049006,01MUN02570106100,HENAGAR CITY JAIL,2006,
01051002,01MUN02600206100,Tallassee City Jail,2013,16.0
01053002,01MUN02700206100,BREWTON CITY JAIL,2006,
01055003,01MUN02800206100,Attalla City Jail,2013,18.0
01055002,01MUN02800306100,GADSDEN CITY JAIL,1993,100.0
01059002,01MUN03000406100,Russellville City Jail,2013,14.0
01063002,01MUN03200206100,EUTAW CITY JAIL,1999,8.0
01069001,01MUN03500406000,DOTHAN CITY JAIL,2006,100.0
01069001,01MUN03500406100,DOTHAN CITY JAIL,2014,100.0
01071003,01MUN03600506000,SCOTTSBORO CITY JAIL,2006,39.0
01071003,01MUN03600506100,SCOTTSBORO CITY JAIL,2014,40.0
01071002,01MUN03600706100,Stevenson City Jail,2013,6.0
01073020,01MUN03700106100,,2018,30.0
01073001,01MUN03700206000,JEFFERSON COUNTY,1998,85.0
01073001,01MUN03700206100,Bessemer City Jail,2013,91.0
01073002,01MUN03700306000,BIRMINGHAM CITY JAIL,2006,407.0
01073002,01MUN03700306100,Birmingham City Jail,2013,411.0
01073018,01MUN03700406100,BRIGHTON CITY JAIL,2006,
01073019,01MUN03700506100,BROOKSIDE CITY JAIL,2006,
01073003,01MUN03700806000,JEFFERSON COUNTY,1998,40.0
01073003,01MUN03700806100,Fairfield City Jail,2013,44.0
01073013,01MUN03700906100,FULTONDALE POLICE DEPARTMENT,2016,22.0
01073021,01MUN03701006000,GARDENDALE CITY,2004,26.0
01073021,01MUN03701006100,Gardendale City Jail,2013,21.0
01073004,01MUN03701106100,GRAYSVILLE CITY JAIL,2005,12.0
01073005,01MUN03701206100,Homewood City Jail,2013,24.0
01073006,01MUN03701306100,Irondale City Jail,2013,12.0
01073022,01MUN03701406100,KIMBERLY CITY JAIL,2006,
01073008,01MUN03701506000,JEFFERSON COUNTY,1998,11.0
01073008,01MUN03701506100,LEEDS CITY JAIL,1999,13.0
01073016,01MUN03701606100,Lipscomb Municipal Jail,2013,16.0
01073023,01MUN03701706100,Midfield City Jail,2013,12.0
01073011,01MUN03701906000,,1992,25.0
01073011,01MUN03701906100,Mountain Brook City Jail,2013,18.0
01073009,01MUN03702206000,,1987,11.0
01073009,01MUN03702206100,Pleasant Grove City Jail,2013,10.0
01073012,01MUN03702306100,Tarrant City Jail,2013,29.0
01073017,01MUN03702506100,Trussville City Jail,2013,30.0
01073010,01MUN03702706100,Warrior City Jail,2013,12.0
01073015,01MUN03750406000,JEFFERSON COUNTY,1998,22.0
01073015,01MUN03750406100,Hueytown City Jail,2013,22.0
01073014,01MUN03780106000,HOOVER CITY JAIL,2006,72.0
01073014,01MUN03780106100,HOOVER CITY JAIL,2014,74.0
01077002,01MUN03900106100,FLORENCE CITY JAIL,1993,42.0
01081001,01MUN04100106100,AUBURN CITY JAIL,1999,26.0
01081003,01MUN04100206100,OPELIKA CITY JAIL,2006,
01083001,01MUN04200206100,ATHENS CITY JAIL,2006,
01089001,01MUN04500106000,HUNTSVILLE CITY,2002,273.0
01089001,01MUN04500106100,HUNTSVILLE CITY JAIL,1993,54.0
01089001,01MUN04500106200,HUNTSVILLE CITY JAIL ANNEX,1993,150.0
01089001,01MUN04500109000,HUNTSVILLE CITY,1993,
01091001,01MUN04600206100,DEMOPOLIS CITY JAIL,1993,26.0
01095001,01MUN04800106100,Albertville City Jail,2013,48.0
01095003,01MUN04800206100,Arab City Jail,2013,24.0
01095004,01MUN04800306100,Boaz City Jail,2013,60.0
01095005,01MUN04800506100,,2018,20.0
01097005,01MUN04900106100,Chickasaw City Jail,2013,11.0
01097008,01MUN04900206100,Bayou La Batre City Jail,2013,24.0
01097007,01MUN04900306100,Citronelle City Jail,2013,12.0
01097001,01MUN04900406000,,1992,235.0
01097001,01MUN04900406100,MOBILE CITY JAIL,1991,235.0
01097003,01MUN04900506000,,1992,65.0
01097003,01MUN04900506100,PRICHARD CITY JAIL,1999,75.0
01097006,01MUN04950106100,Saraland City Jail,2013,18.0
01097004,01MUN04950206100,Satsuma City Jail,2013,8.0
01097009,01MUN04950306100,Mt. Vernon City Jail,2013,10.0
01097010,01MUN04960106100,,2018,2.0
01099001,01MUN05000406100,,1970,18.0
01101002,01MUN05100106000,MONTGOMERY CITY,2004,262.0
01101002,01MUN05100106100,,2018,272.0
01103001,01MUN05200206100,Decatur City Jail,2013,104.0
01103003,01MUN05200406100,Hartselle City Jail,2013,23.0
01105002,01MUN05300106100,MARION CITY JAIL,2006,
01109002,01MUN05500406000,,1987,16.0
01109002,01MUN05500406100,Troy City Jail,2013,32.0
01111002,01MUN05600106000,ROANOKE CITY,2004,25.0
01111002,01MUN05600106100,Roanoke City Jail,2013,62.0
01113001,01MUN05700206100,PHENIX CITY JAIL,1993,62.0
01117003,01MUN05900106100,Alabaster City Jail,2013,12.0
01117004,01MUN05900506100,Helena City Jail,2013,12.0
01117002,01MUN05900606000,SHELBY COUNTY,1998,18.0
01117002,01MUN05900606100,MONTEVALLO CITY JAIL,2005,19.0
01121004,01MUN06100206000,CHILDERSBURG CITY,2004,10.0
01121004,01MUN06100206100,CHILDERSBURG CITY JAIL,2006,
01121005,01MUN06100406100,LINCOLN CITY JAIL,1999,4.0
01121001,01MUN06100506100,SYLACAUGA CITY JAIL,2006,
01121002,01MUN06100606000,TALLADEGA COUNTY,1998,20.0
01121002,01MUN06100606100,TALLADEGA CITY JAIL,2006,
01123001,01MUN06200106100,Alexander City Jail,2013,26.0
01125001,01MUN06300206100,,1970,80.0
01127001,01MUN06400106100,Carbon Hill City Jail,2013,11.0
01127005,01MUN06400206000,CORDOVA CITY,2003,6.0
01127005,01MUN06400206100,CORDOVA CITY JAIL,1999,6.0
01127003,01MUN06400406100,CITY JAIL,1988,19.0
01127004,01MUN06400906100,Sumiton City Jail,2013,10.0
01133002,01MUN06700306100,HALEYVILLE CITY JAIL,2006,
01059003,01NAN03000206100,City Jail,2013,8.0
01077003,01PRV03903906300,LAUDERDALE CO WORK RELEASE,2006,
02050001,02CNT00400106100,Bristol Bay Borough Jail,2013,4.0
02013001,02MUN00100406100,Unalaska City Jail,2013,12.0
02060001,02MUN00500306100,Dillingham City Jail,2013,8.0
02070001,02MUN00700106100,Haines City Jail,2013,6.0
02100002,02MUN00900106100,Homer City Jail,2013,7.0
02100001,02MUN00900506100,Seward Community Jail,2013,14.0
02110001,02MUN01100706100,Kotzebue Regional Jail,2013,12.0
02122001,02MUN01200206000,,1992,16.0
02122001,02MUN01200206100,Kodiak City Jail,2013,24.0
02164001,02MUN01500206100,Barrow City Jail,2013,2.0
02170001,02MUN01600106100,Craig City Jail,2013,7.0
02180001,02MUN01700106100,Sitka City Jail,2013,16.0
02195001,02MUN02000106000,CORDOVA CITY,2004,5.0
02195001,02MUN02000106100,Cordova City Jail,2013,6.0
02195002,02MUN02000206100,Valdez City Jail,2013,14.0
02220001,02MUN02200306100,Petersburg City Jail,2013,12.0
02220002,02MUN02200506100,Wrangell City Jail,2013,12.0
02270001,02MUN02600206100,,1970,16.0
02275001,02MUN02700106100,,1970,181.0
02290001,02MUN02980106100,,1978,15.0
04001001,03CNT00100106100,,1978,12.0
04001001,03CNT00100106200,Apache Co. Jail,2013,152.0
04003005,03CNT00200206000,COCHISE COUNTY,2004,160.0
04003005,03CNT00200206100,Cochise Co. Jail,2013,160.0
04003005,03CNT00200206200,,1970,50.0
04005002,03CNT00300306000,COCONINO COUNTY JAIL,2006,596.0
04005002,03CNT00300306100,,2018,623.0
04005002,03CNT00300306200,,1970,108.0
04007001,03CNT00400406000,GILA COUNTY JAIL,2006,169.0
04007001,03CNT00400406100,GILA COUNTY JAIL,2014,183.0
04007001,03CNT00400406200,GILA COUNTY JAIL SUBSTATION,1993,25.0
04007001,03CNT00400406300,,1970,35.0
04007001,03CNT00400409000,GILA COUNTY,1993,
04009001,03CNT00500506000,,1992,92.0
04009001,03CNT00500506100,Graham Co. Det. Ctr.,2013,164.0
04011001,03CNT00600606100,,1978,17.0
04011001,03CNT00600606200,Greenlee Co. Corr. Fac.,2013,34.0
04013011,03CNT00700706000,,2018,10006.0
04013011,03CNT00700706100,MARICOPA CO FIRST AVENUE JAIL,1993,248.0
04013011,03CNT00700706200,COUNTY JAIL ANNEX,1988,240.0
04013011,03CNT00700706300,MARICOPA DURANGO DETENTION,1993,828.0
04013011,03CNT00700706400,MARICOPA CO MADISON STREET JAIL,1993,1440.0
04013011,03CNT00700706500,MARICOPA CO AVONDALE SUB JAIL,1993,56.0
04013011,03CNT00700706600,MARICOPA CO SOUTHEAST REG FAC,1993,60.0
04013011,03CNT00700706700,MARICOPA COUNTY JAIL - TOWERS,1993,720.0
04013011,03CNT00700706800,MARICOPA CO JAIL-ESTRELLA,1993,880.0
04013011,03CNT00700709000,MARICOPA COUNTY,1993,
04015002,03CNT00800806000,MOHAVE COUNTY JAIL,2006,463.0
04015002,03CNT00800806100,,2018,688.0
04015002,03CNT00800806200,,1983,35.0
04017002,03CNT00900906000,,1987,78.0
04017002,03CNT00900906100,,2018,444.0
04019001,03CNT01001006000,,2018,2105.0
04019001,03CNT01001006100,PIMA CO ADULT DETENTION CENTER,1993,634.0
04019001,03CNT01001006200,PIMA CO MEDIUM SECURITY ADDITION,1993,520.0
04019001,03CNT01001006300,PIMA CO JAIL SUBSTATION,1993,6.0
04019001,03CNT01001009000,PIMA COUNTY,1993,
04021004,03CNT01101106000,PINAL COUNTY JAIL,2006,477.0
04021004,03CNT01101106100,,2018,1503.0
04023001,03CNT01201206000,SANTA CRUZ COUNTY,2004,102.0
04023001,03CNT01201206100,SANTA CRUZ COUNTY JAIL,2006,
04025001,03CNT01301306000,,2018,797.0
04025001,03CNT01301306100,YAVAPAI COUNTY JAIL,1993,138.0
04025001,03CNT01301306200,YAVAPAI CO CAMP VERDE FACILITY,1993,54.0
04025001,03CNT01301309000,YAVAPAI COUNTY,1993,
04027002,03CNT01401406000,YUMA COUNTY DETENTION CENTER,2006,727.0
04027002,03CNT01401406100,YUMA COUNTY JAIL - MOBILE UNIT,1993,80.0
04027002,03CNT01401406200,,2018,756.0
04027002,03CNT01401406300,,1978,12.0
04027002,03CNT01401406400,,1978,8.0
04027002,03CNT01401409000,YUMA COUNTY,1993,
04012001,03CNT01501506000,LA PAZ COUNTY,2004,244.0
04012001,03CNT01501506100,La Paz County Adult Detention Facility,2013,266.0
04003001,03MUN00200206100,,1970,16.0
04003004,03MUN00200306100,CITY JAIL,1988,26.0
04003002,03MUN00200506100,,1970,2.0
04003003,03MUN00200606100,,1978,20.0
04005001,03MUN00300106100,,1970,58.0
04007002,03MUN00400206100,MIAMI CITY JAIL,1993,5.0
04013007,03MUN00700106100,Avondale City Jail,2013,38.0
04013001,03MUN00700206100,,1970,18.0
04013002,03MUN00700306100,,1978,73.0
04013010,03MUN00700406100,EL MIRAGE CITY JAIL,1999,28.0
04013003,03MUN00700506100,,1970,8.0
04013008,03MUN00700806100,CITY JAIL,1988,22.0
04013009,03MUN00700906100,CITY JAIL,1988,12.0
04013004,03MUN00701006100,,1970,710.0
04013005,03MUN00701106100,,1970,14.0
04013006,03MUN00701206100,,1978,24.0
04013012,03MUN00701306100,TOLLESON CITY JAIL,1999,24.0
04015001,03MUN00800106100,,1970,16.0
04017001,03MUN00900106100,,1970,55.0
04017003,03MUN00900406100,WINSLOW CITY JAIL,1993,78.0
04019002,03MUN01000106100,,1983,15.0
04021001,03MUN01100106100,,1978,72.0
04021002,03MUN01100206100,COOLIDGE CITY JAIL,1993,6.0
04021003,03MUN01100306000,,1987,25.0
04021003,03MUN01100306100,ELROY CITY JAIL,1993,16.0
04025002,03MUN01340106100,CAPE VERDE MARSHAL DEPT,1993,10.0
04027001,03MUN01400306100,,1970,136.0
05001001,04CNT00100106000,ARKANSAS COUNTY,1998,24.0
05001001,04CNT00100106100,Arkansas Co. Det. Ctr.,2013,136.0
05003002,04CNT00200206000,ASHLEY COUNTY,2004,36.0
05003002,04CNT00200206100,Ashley Co. Jail,2013,120.0
05003002,04CNT00200206300,,1970,24.0
05005001,04CNT00300306100,Baxter Co. Jail,2013,102.0
05007003,04CNT00400406000,,1992,78.0
05007003,04CNT00400406100,,2018,604.0
05009002,04CNT00500506100,Boone Co. Law Enf. Ctr.,2013,103.0
05011001,04CNT00600606100,,1970,12.0
05013001,04CNT00700706100,Calhoun County Detention Center,2013,30.0
05015001,04CNT00800806100,Carroll County Det. Ctr.,2013,123.0
05017002,04CNT00900906100,CHICOT COUNTY LAKE VILLAGE JAIL,1999,22.0
05019001,04CNT01001006100,Clark Co. Jail,2013,50.0
05021002,04CNT01101106100,Clay Co. Jail,2013,76.0
05021002,04CNT01101106200,,1970,12.0
05023001,04CNT01201206100,Cleburne Co. Jail,2013,82.0
05025001,04CNT01301306100,,1978,5.0
05025001,04CNT01301306200,Cleveland Co. Jail,2013,10.0
05027002,04CNT01401406000,COLUMBIA COUNTY,2004,80.0
05027002,04CNT01401406100,Columbia Co. Jail,2013,92.0
05029002,04CNT01501506000,CONWAY COUNTY,1998,57.0
05029002,04CNT01501506100,Conway Co. Det. Ctr.,2013,53.0
05031001,04CNT01601606000,CRAIGHEAD COUNTY DETENTION CENTER,2006,323.0
05031001,04CNT01601606100,Craighead Co. Det. Ctr.,2013,428.0
05033001,04CNT01701706100,Crawford County Jail,2013,88.0
05035001,04CNT01801806000,,1987,121.0
05035001,04CNT01801806100,,1978,90.0
05035001,04CNT01801806200,CRITTENDEN COUNTY SHERIFFS OFFICE,2017,320.0
05037003,04CNT01901906100,Cross County Jail and Detention Center,2013,70.0
05039001,04CNT02002006100,Dallas Co. Jail,2013,126.0
05041001,04CNT02102106100,COUNTY JAIL,1988,12.0
05043002,04CNT02202206100,,2018,43.0
05045001,04CNT02302306000,FAULKNER COUNTY,1998,140.0
05045001,04CNT02302306100,COUNTY JAIL,1988,29.0
05045001,04CNT02302306200,FAULKNER COUNTY DETENTION CENTER,2006,
05047001,04CNT02402406100,Franklin Co. Jail,2013,26.0
05049001,04CNT02502506100,Fulton Co. Jail,2013,12.0
05051002,04CNT02602606000,GARLAND COUNTY CRIMINAL DETENTION FACILITY,2006,188.0
05051002,04CNT02602606100,GARLAND COUNTY CRIMINAL DETENTION FACILITY,2014,178.0
05053001,04CNT02702706100,,2018,92.0
05055001,04CNT02802806000,GREENE COUNTY JAIL,2006,110.0
05055001,04CNT02802806100,Greene Co. Jail,2013,110.0
05057001,04CNT02902906000,,1992,16.0
05057001,04CNT02902906100,Hempstead Co. Jail,2013,100.0
05059001,04CNT03003006100,HOT SPRING COUNTY JAIL,2006,
05061001,04CNT03103106100,Howard Co. Detention Facility,2013,51.0
05063002,04CNT03203206100,INDEPENDENCE COUNTY JAIL,2006,
05065001,04CNT03303306100,Izard Co. Jail,2013,39.0
05067002,04CNT03403406000,,1992,27.0
05067002,04CNT03403406100,,1978,16.0
05067002,04CNT03403406200,Jackson Co. Det. Ctr.,2013,26.0
05069002,04CNT03503506000,JEFFERSON COUNTY REGIONAL JAIL,2006,106.0
05069002,04CNT03503506100,W. C. DUB BRASSELL ADULT DETENTION FACILITY,2014,335.0
05071001,04CNT03603606000,JOHNSON COUNTY JAIL,2006,36.0
05071001,04CNT03603606100,JOHNSON COUNTY JAIL,2014,54.0
05073001,04CNT03703706100,Lafayette Co. Jail,2013,52.0
05075003,04CNT03803806000,,1992,33.0
05075003,04CNT03803806100,LAWRENCE COUNTY JAIL,2006,
05077001,04CNT03903906000,LEE COUNTY,2004,37.0
05077001,04CNT03903906100,LEE COUNTY JAIL,1999,38.0
05079002,04CNT04004006100,LINCOLN COUNTY JAIL,2006,
05081001,04CNT04104106100,Little River County Jail,2013,24.0
05083003,04CNT04204206000,LOGAN COUNTY,2004,30.0
05083003,04CNT04204206100,LOGAN COUNTY DETENTION CENTER,2006,
05083003,04CNT04204206200,,1970,16.0
05085001,04CNT04304306100,Lonoke Co. Det. Ctr.,2013,136.0
05087001,04CNT04404406100,Madison Co. Jail,2013,11.0
05089001,04CNT04504506100,,1978,4.0
05089001,04CNT04504506200,Marion Co. Law Enf. Ctr.,2013,19.0
05091002,04CNT04604606000,MILLER COUNTY JAIL,2006,220.0
05091002,04CNT04604606100,MILLER COUNTY JAIL,2014,330.0
05093002,04CNT04704706000,,1987,136.0
05093002,04CNT04704706100,Mississippi Co. Det. Ctr.,2013,266.0
05093002,04CNT04704706200,,1970,56.0
05093002,04CNT04704706300,,1970,60.0
05095001,04CNT04804806100,MONROE COUNTY DETENTION CENTER,2006,
05097001,04CNT04904906100,Montgomery Co. Jail,2013,11.0
05099001,04CNT05005006100,Nevada Co. Jail,2013,10.0
05101001,04CNT05105106100,NEWTON COUNTY JAIL,2006,
05103001,04CNT05205206000,OUACHITA COUNTY,1998,44.0
05103001,04CNT05205206100,Ouachita Co. Jail,2013,200.0
05105001,04CNT05305306000,PERRY COUNTY,2004,17.0
05105001,04CNT05305306100,Perry County Detention Center,2013,28.0
05107003,04CNT05405406000,PHILLIPS COUNTY,2004,80.0
05107003,04CNT05405406100,PHILLIPS COUNTY JAIL,2006,
05109001,04CNT05505506100,Pike Co. Jail,2013,76.0
05111001,04CNT05605606000,POINSETT COUNTY,2004,115.0
05111001,04CNT05605606100,Poinsett Co. Det. Ctr.,2013,136.0
05113001,04CNT05705706100,,1978,16.0
05113001,04CNT05705706200,Polk Co. Jail,2013,27.0
05115001,04CNT05805806000,,1987,53.0
05115001,04CNT05805806100,Pope Co. Det. Ctr.,2013,173.0
05117001,04CNT05905906000,PRAIRIE COUNTY JAIL,2006,27.0
05117001,04CNT05905906100,PRAIRIE COUNTY JAIL,2014,26.0
05119003,04CNT06006006000,PULASKI COUNTY REGIONAL  JAIL,2006,880.0
05119003,04CNT06006006100,,2018,1210.0
05119003,04CNT06006006200,,1970,277.0
05121001,04CNT06106106100,Randolph County Law Enforcement Detention Center,2013,32.0
05123001,04CNT06206206000,,1987,42.0
