ncic_code,category_code,category,description,is_drug,is_violent,
1115,11,SEXUAL ASSUALT,SEX ASSLT - SODOMY-WOMAN-STGARM,N,Y,
1116,11,SEXUAL ASSUALT,STAT RAPE - NO FORCE,N,Y,
1117,11,SEXUAL ASSUALT,SEX ASSLT - CARNAL ABUSE,N,Y,
1118,11,SEXUAL ASSUALT,RAPE - ELDERLY,N,Y,
1119,11,SEXUAL ASSUALT,RAPE - DISABLED,N,Y,
1120,11,SEXUAL ASSUALT,SEX ASSAULT -ELDERLY,N,Y,
1121,11,SEXUAL ASSUALT,SEX - ASSAULT - DISABLED,N,Y,
1122,11,SEXUAL ASSUALT,RAPE - DRUG INDUCED,N,Y,
1123,11,SEXUAL ASSUALT,SEXUAL ASSAULT - DRUG INDUCED,N,Y,
1198,11,SEXUAL ASSUALT,RAPE,N,Y,
1199,11,SEXUAL ASSUALT,SEX ASSAULT,N,Y,
1201,12,ROBBERY,ROBBERY BUSINESS-GUN,N,Y,
1202,12,ROBBERY,ROBBERY - BUSINESS-WEAPON,N,Y,
1203,12,ROBBERY,ROBBERY - BUSINESS-STGARM,N,Y,
1204,12,ROBBERY,ROBBERY - STREET-GUN,N,Y,
1205,12,ROBBERY,ROBBERY - STREET-WEAPON,N,Y,
1206,12,ROBBERY,ROBBERY - STREET-STGARM,N,Y,
1207,12,ROBBERY,ROBBERY - RESID-GUN,N,Y,
1208,12,ROBBERY,ROBBERY - RESID-WEAPON,N,Y,
1209,12,ROBBERY,ROBBERY - RESID-STGARM,N,Y,
1210,12,ROBBERY,FORCIBLE PURSE SNATCHING,N,Y,
1211,12,ROBBERY,ROBBERY - BANKING-TYPE INST,N,Y,
1212,12,ROBBERY,CARJACKING - ARMED,N,Y,
1299,12,ROBBERY,ROBBERY,N,Y,
1301,13,ASSAULT,AGGRAV ASSLT - FAMILY-GUN,N,Y,
1302,13,ASSAULT,AGGRAV ASSLT - FAMILY-WEAPON,N,Y,
1303,13,ASSAULT,AGGRAV ASSLT - FAMILY-STGARM,N,Y,
1304,13,ASSAULT,AGGRAV ASSLT - NON FAMILY-GUN,N,Y,
1305,13,ASSAULT,AGGRAV ASSLT - NONFAMILY-WEAPON,N,Y,
1306,13,ASSAULT,AGGRAV ASSLT - NONFAMILY-STGARM,N,Y,
1307,13,ASSAULT,AGGRAV ASSLT - PUB OFF-GUN,N,Y,
1308,13,ASSAULT,AGGRAV ASSLT - PUB OFF-WEAPON,N,Y,
1309,13,ASSAULT,AGGRAV ASSLT - PUB OFF-STGARM,N,Y,
1310,13,ASSAULT,AGGRAV ASSLT - POL OFF-GUN,N,Y,
1311,13,ASSAULT,AGGRAV ASSLT - POL OFF-WEAPON,N,Y,
1312,13,ASSAULT,AGGRAV ASSLT - POL OFF-STGARM,N,Y,
1313,13,ASSAULT,SIMPLE ASSLT,N,Y,
1314,13,ASSAULT,AGGRAV ASSLT - GUN,N,Y,
1315,13,ASSAULT,AGGRAV ASSLT - WEAPON,N,Y,
1316,13,ASSAULT,INTIMIDATION (INCLUES STALKING),N,Y,
1399,13,ASSAULT,ASSAULT,N,Y,
1401,14,ABORTION,ABORTIONAL ACT ON OTHER,N,N,
1402,14,ABORTION,ABORTIONAL ACT ON SELF,N,N,
1403,14,ABORTION,SUBMISSION TO ABORTIONAL ACT,N,N,
1404,14,ABORTION,"ABORTIFACIENT (SELLING, MFG., DELIVERING, ETC.)",N,N,
1499,14,ABORTION,ABORTION,N,N,
1601,16,THREAT,THREATEN FEDERAL PROTECTEE,N,Y,
1602,16,THREAT,THREAT - TERRORISTIC - STATE OFFENSES,N,Y,
1701,17,THREAT,STATE/LOCAL - MATERIAL WITNESS,N,N,
1702,17,THREAT,FEDERAL - MATERIAL WITNESS,N,N,
2001,20,ARSON,ARSON BUSINESS-ENDANGERED LIFE,N,N,
2002,20,ARSON,ARSON - RESID-ENDANGERED LIFE,N,N,
2003,20,ARSON,ARSON - BUSINESS-DEFRAUD INSURER,N,N,
2004,20,ARSON,ARSON RESID-DEFRAUD INSURER,N,N,
2005,20,ARSON,ARSON BUSINESS,N,N,
2006,20,ARSON,ARSON RESID,N,N,
2007,20,ARSON,BURNING OF - (IDENTIFY OBJECT),N,N,
2008,20,ARSON,ARSON - PUB-BLDG-ENDANGERED LIFE,N,N,
2009,20,ARSON,ARSON - PUB-BLDG,N,N,
2099,20,ARSON,ARSON,N,N,
2101,21,EXTORTION,EXTORT - THREAT INJURE PERSON,N,Y,
2102,21,EXTORTION,EXTORT THREAT DAMAGE PROP,N,N,
2103,21,EXTORTION,EXTORT THREAT INJURE REPUTATION,N,N,
2104,21,EXTORTION,EXTORT THREAT ACCUSE PERSON OF CRIME,N,N,
2105,21,EXTORTION,EXTORT - THREAT OF INFORMING OF VIO,N,N,
2199,21,EXTORTION,EXTORTION,N,N,
2201,22,BURGLARY,BURGL - SAFE-VAULT,N,N,
2202,22,BURGLARY,BURGL - FORCED ENTRY-RESID,N,N,
2203,22,BURGLARY,BURGL - FORCED'' ENTRY-NON RESID,N,N,
2204,22,BURGLARY,BURGL - NO FORCED ENTRY-RESID,N,N,
2205,22,BURGLARY,BURGL - NO FORCED ENTRY-NONRESID,N,N,
2206,22,BURGLARY,BURGL TOOLS - POSSESS,N,N,
2207,22,BURGLARY,BURGL - BANKING-TYPE INST,N,N,
2299,22,BURGLARY,BURGLARY,N,N,
2301,23,LARCENY,POCKETPICKING,N,N,
2302,23,LARCENY,PURSE SNATCHING - NO FORCE,N,N,
2303,23,LARCENY,SHOPLIFTING,N,N,
2304,23,LARCENY,LARC - PARTS FROM VEH,N,N,
2305,23,LARCENY,LARC - FROM AUTO,N,N,
2306,23,LARCENY,LARC - FROM SHIPMENT,N,N,
2307,23,LARCENY,LARC - FROM COIN MACHINE,N,N,
2308,23,LARCENY,LARC - FROM BLDG,N,N,
2309,23,LARCENY,LARC - FROM YARDS,N,N,
2310,23,LARCENY,LARC - FROM MAILS,N,N,
2311,23,LARCENY,LARC - FROM BANKING-TYPE INST,N,N,
2312,23,LARCENY,LARC - FROM INTERSTATE SHIPMENT,N,N,
2313,23,LARCENY,OBSTRUCT CORRESPONDENCE,N,N,
2314,23,LARCENY,THEFT OF US GOVT PROP,N,N,
2315,23,LARCENY,LARC ON US GOVT RESERV,N,N,
2316,23,LARCENY,LARC - POSTAL,N,N,
2399,23,LARCENY,LARCENY,N,N,
2401,24,STOLEN VEHICLE,THEFT AND SALE VEH,N,N,
2402,24,STOLEN VEHICLE,THEFT AND STRIP VEH,N,N,
2403,24,STOLEN VEHICLE,THEFT AND USE VEH OTHER CRIME,N,N,
2404,24,STOLEN VEHICLE,VEHICLE THEFT,N,N,
2405,24,STOLEN VEHICLE,THEFT VEH BY BAILEE,N,N,
2406,24,STOLEN VEHICLE,RECEIV STOLEN VEH,N,N,
2407,24,STOLEN VEHICLE,STRIP STOLEN VEH,N,N,
2408,24,STOLEN VEHICLE,POSSESS STOLEN VEHICLE,N,N,
2409,24,STOLEN VEHICLE,INTERSTATE TRANSP STOLEN VEH,N,N,
2410,24,STOLEN VEHICLE,AIRCRAFT THEFT,N,N,
2411,24,STOLEN VEHICLE,UNAUTH USE OF VEH,N,N,
2499,24,STOLEN VEHICLE,STOLEN VEHICLE,N,N,
2501,25,COUNTERFEITING,FORGERY OF CHECKS,N,N,
2502,25,COUNTERFEITING,FORGERY OF - (IDENTIFY OBJECT),N,N,
2503,25,COUNTERFEITING,COUNTERFEITING OF - (IDENTIFY OBJECT),N,N,
2504,25,COUNTERFEITING,PASS FORGED - (IDENTIFY OBJECT),N,N,
2505,25,COUNTERFEITING,PASS COUNTERFEITED - (IDENTIFY OBJECT),N,N,
2506,25,COUNTERFEITING,POSSESS FORGED - (IDENTIFY OBJECT),N,N,
2507,25,COUNTERFEITING,POSSESS COUNTERFEITED - (IDENTIFY OBJECT),N,N,
2508,25,COUNTERFEITING,POSSESS TOOLS FOR FORGERY/COUNTERFEITING,N,N,
2509,25,COUNTERFEITING,TRANSPORT FORGED - (IDENTIFY OBJECT),N,N,
2510,25,COUNTERFEITING,TRANSPORT COUNTERFEITED - (IDENTIFY OBJECT),N,N,
2511,25,COUNTERFEITING,TRANSPORT TOOLS FOR FORGERY/COUNTERFEITING,N,N,
2589,25,COUNTERFEITING,FORGERY,N,N,
2599,25,COUNTERFEITING,COUNTERFEITING,N,N,
2601,26,FRAUD,FRAUD - CONFIDENCE GAME,N,N,
2602,26,FRAUD,FRAUD-SWINDLE,N,N,
2603,26,FRAUD,MAIL FRAUD,N,N,
2604,26,FRAUD,FRAUD - IMPERSON,N,N,
2605,26,FRAUD,FRAUD - ILLEG USE CREDIT CARDS,N,N,
2606,26,FRAUD,FRAUD - INSUFF FUNDS CHECK,N,N,
2607,26,FRAUD,FRAUD - FALSE STATEMENT,N,N,
2608,26,FRAUD,FRAUD - BY WIRE,N,N,
2609,26,FRAUD,FRAUD AND ABUSE - COMPUTER,N,N,
2610,26,FRAUD,IDENTITY THEFT,N,N,
2699,26,FRAUD,FRAUD,N,N,
2701,27,EMBEZZLEMENT,EMBEZZLE - BUSINESS PROP,N,N,
2702,27,EMBEZZLEMENT,EMBEZZLE - INTERSTATE SHIPMENT,N,N,
2703,27,EMBEZZLEMENT,EMBEZZLE - BANKING-TYPE INST,N,N,
2704,27,EMBEZZLEMENT,EMBEZZLE - PUBLIC PROP,N,N,
2705,27,EMBEZZLEMENT,EMBEZZLE - POSTAL,N,N,
2799,27,EMBEZZLEMENT,EMBEZZLE,N,N,
2801,28,STOLEN PROPERTY,SALE OF STOLEN PROP,N,N,
2802,28,STOLEN PROPERTY,TRANSPORT INTERSTATE STOLEN PROP,N,N,
2803,28,STOLEN PROPERTY,RECEIVE STOLEN PROP,N,N,
2804,28,STOLEN PROPERTY,POSSESS STOLEN PROP,N,N,
2805,28,STOLEN PROPERTY,CONCEAL STOLEN PROP,N,N,
2899,28,STOLEN PROPERTY,STOLEN PROPERTY,N,N,
2901,29,DAMAGE PROPERTY,DAMAGE PROP BUSINESS,N,N,
2902,29,DAMAGE PROPERTY,DAMAGE PROP - PRIVATE,N,N,
2903,29,DAMAGE PROPERTY,DAMAGE PROP - PUBLIC,N,N,
2904,29,DAMAGE PROPERTY,DAMAGE PROP - BUSINESS-WITH EXPLOSIVE,N,N,
2905,29,DAMAGE PROPERTY,DAMAGE PROP - PRIVATE-WITH EXPLOSIVE,N,N,
2906,29,DAMAGE PROPERTY,DAMAGE PROP PUBLIC-WITH EXPLOSIVE,N,N,
2999,29,DAMAGE PROPERTY,DAMAGE PROPERTY,N,N,
3501,35,DANGEROUS DRUGS,HALLUCINOGEN - MFR,Y,N,
3502,35,DANGEROUS DRUGS,HALLUCINOGEN - DISTRIB,Y,N,
3503,35,DANGEROUS DRUGS,HALLUCINOGEN - SELL,Y,N,
3504,35,DANGEROUS DRUGS,HALLUCINOGEN - POSSESS,Y,N,
3505,35,DANGEROUS DRUGS,HALLUCINOGEN,Y,N,
3510,35,DANGEROUS DRUGS,HEROIN - SELL,Y,N,
3511,35,DANGEROUS DRUGS,HEROIN - SMUGGL,Y,N,
3512,35,DANGEROUS DRUGS,HEROIN - POSSESS,Y,N,
3513,35,DANGEROUS DRUGS,HEROIN,Y,N,
3520,35,DANGEROUS DRUGS,OPIUM OR DERIV - SELL,Y,N,
3521,35,DANGEROUS DRUGS,OPIUM OR DERIV SMUGGL,Y,N,
3522,35,DANGEROUS DRUGS,OPIUM OR -DERIV - POSSESS,Y,N,
3523,35,DANGEROUS DRUGS,OPIUM OR DERIV,Y,N,
3530,35,DANGEROUS DRUGS,COCAINE - SELL,Y,N,
3531,35,DANGEROUS DRUGS,COCAINE - SMUGGL,Y,N,
3532,35,DANGEROUS DRUGS,COCAINE - POSSESS,Y,N,
3533,35,DANGEROUS DRUGS,COCAINE,Y,N,
3540,35,DANGEROUS DRUGS,SYNTH NARCOTIC - SELL,Y,N,
3541,35,DANGEROUS DRUGS,SYNTH NARCOTIC - SMUGGL,Y,N,
3542,35,DANGEROUS DRUGS,SYNTH NARCOTIC - POSSESS,Y,N,
3543,35,DANGEROUS DRUGS,SYNTH NARCOTIC,Y,N,
3550,35,DANGEROUS DRUGS,NARCOTIC EQUIP POSSESS,Y,N,
3560,35,DANGEROUS DRUGS,MARIJUANA - SELL,Y,N,
3561,35,DANGEROUS DRUGS,MARIJUANA - SMUGL,Y,N,
3562,35,DANGEROUS DRUGS,MARIJUANA POSSESS,Y,N,
3563,35,DANGEROUS DRUGS,MARIJUANA PRODUCING,Y,N,
3564,35,DANGEROUS DRUGS,MARIJUANA,Y,N,
3570,35,DANGEROUS DRUGS,AMPHETAMINE - MFR,Y,N,
3571,35,DANGEROUS DRUGS,AMPHETAMINE SELL,Y,N,
3572,35,DANGEROUS DRUGS,AMPHETAMINE POSSESS,Y,N,
3573,35,DANGEROUS DRUGS,AMPHETAMINE,Y,N,
3580,35,DANGEROUS DRUGS,BARBITURATE - MFR,Y,N,
3581,35,DANGEROUS DRUGS,BARBITURATE - SELL,Y,N,
3582,35,DANGEROUS DRUGS,BARBITURATE - POSSESS,Y,N,
3583,35,DANGEROUS DRUGS,BARBITURATE,Y,N,
3599,35,DANGEROUS DRUGS,DANGEROUS DRUGS,Y,N,
3601,36,SEX OFFENSE,SEX OFFENSE - AGAINST CHILD-FONDLING,N,N,
3602,36,SEX OFFENSE,HOMOSEXUAL ACT WITH GIRL,N,N,
3603,36,SEX OFFENSE,HOMOSEXUAL ACT WITH BOY,N,N,
3604,36,SEX OFFENSE,INCEST WITH MINOR,N,N,
3605,36,SEX OFFENSE,INDECENT EXPOSURE (TO MINORS AND ADULTS),N,N,
3606,36,SEX OFFENSE,BESTIALITY,N,N,
3607,36,SEX OFFENSE,INCEST WITH ADULT,N,N,
3608,36,SEX OFFENSE,SEDUCTION OF ADULT,N,N,
3609,36,SEX OFFENSE,HOMOSEXUAL ACT WITH WOMAN,N,N,
3610,36,SEX OFFENSE,HOMOSEXUAL ACT WITH MAN,N,N,
3611,36,SEX OFFENSE,PEEPING TOM,N,N,
3612,36,SEX OFFENSE,FAILURE TO REGISTER AS A SEX OFFENDER,N,N,
3613,36,SEX OFFENSE,SEX OFFENDER REGISTRATION VIOLATION,N,N,
3614,36,SEX OFFENSE,INDECENT EXPOSURE TO MINOR,N,N,
3615,36,SEX OFFENSE,INDECENT EXPOSURE TO ADULT,N,N,
3616,36,SEX OFFENSE,LEWD OR LASCIVIOUS ACTS WITH MINOR,N,N,
3617,36,SEX OFFENSE,SEXUALLY VIOLATE HUMAN REMAINS/NECROPHILIA,N,N,
3618,36,SEX OFFENSE,MOLESTATION OF MINOR,N,N,
3619,36,SEX OFFENSE,VOYEURISM,N,N,
3620,36,SEX OFFENSE,SEX OFFENSE - ELDERLY,N,N,
3621,36,SEX OFFENSE,SEX OFFENSE - DISABLED,N,N,
3622,36,SEX OFFENSE,TRANSPORT INTERSTATE FOR SEXUAL ACTIVITY,N,N,
3699,36,SEX OFFENSE,SEX OFFENSE,N,N,
3700,37,OBSCENITY,OBSCENE MATERIAL,N,N,
3701,37,OBSCENITY,OBSCENE MATERIAL - MFR,N,N,
3702,37,OBSCENITY,OBSCENE MATERIAL - SELL,N,N,
3703,37,OBSCENITY,OBSCENE MATERIAL - MAILING,N,N,
3704,37,OBSCENITY,OBSCENE MATERIAL - POSSESS,N,N,
3705,37,OBSCENITY,OBSCENE MATERIAL - DISTRIB,N,N,
3706,37,OBSCENITY,OBSCENE MATERIAL - TRANSPORT,N,N,
3707,37,OBSCENITY,OBSCENE COMMUNICATION,N,N,
3799,37,OBSCENITY,OBSCENITY,N,N,
3801,38,FAMILY OFFENSES,NEGLECT FAMILY,N,N,
3802,38,FAMILY OFFENSES,CRUELTY TOWARD CHILD,N,N,
3803,38,FAMILY OFFENSES,CRUELTY TOWARD WIFE,N,N,
3804,38,FAMILY OFFENSES,BIGAMY,N,N,
3805,38,FAMILY OFFENSES,CONTRIB DELINQ MINOR,N,N,
3806,38,FAMILY OFFENSES,NEGLECT CHILD,N,N,
3807,38,FAMILY OFFENSES,NONPAYMENT OF ALIMONY,N,N,
3808,38,FAMILY OFFENSES,NONSUPPORT OF PARENT,N,N,
3809,38,FAMILY OFFENSES,CRUELTY TOWARD ELDERLY,N,N,
3810,38,FAMILY OFFENSES,CRUELTY TOWARD DISABLED,N,N,
3811,38,FAMILY OFFENSES,NEGLECT ELDERLY,N,N,
3812,38,FAMILY OFFENSES,NEGLECT DISABLED,N,N,
3899,38,FAMILY OFFENSES,FAMILY OFFENSE,N,N,
3901,39,GAMBLING,BOOKMAKING,N,N,
3902,39,GAMBLING,CARD GAME - OPERATING,N,N,
3904,39,GAMBLING,CARD GAME,N,N,
3905,39,GAMBLING,DICE GAME - OPERATING,N,N,
3907,39,GAMBLING,DICE GAME,N,N,
3908,39,GAMBLING,GAMBLING DEVICE - POSSESS,N,N,
3909,39,GAMBLING,GAMBLING DEVICE - TRANSPORT,N,N,
3910,39,GAMBLING,GAMBLING DEVICE - NOT REGISTERED,N,N,
3911,39,GAMBLING,GAMBLING DEVICE,N,N,
3912,39,GAMBLING,GAMBLING GOODS - POSSESS,N,N,
3913,39,GAMBLING,GAMBLING GOODS - TRANSPORT,N,N,
3914,39,GAMBLING,GAMBLING GOODS,N,N,
3915,39,GAMBLING,LOTTERY - OPERATING,N,N,
3916,39,GAMBLING,LOTTERY - RUNNER,N,N,
3918,39,GAMBLING,LOTTERY,N,N,
3919,39,GAMBLING,SPORTS TAMPERING,N,N,
3920,39,GAMBLING,TRANSMIT WAGER INFORMATION,N,N,
3921,39,GAMBLING,ESTABLISH GAMBLING PLACE,N,N,
3999,39,GAMBLING,GAMBLING,N,N,
4001,40,COMMERCIAL SEX,KEEPING HOUSE ILL FAME,N,N,
4002,40,COMMERCIAL SEX,PROCURE FOR PROSTITUTE (PIMPING),N,N,
4003,40,COMMERCIAL SEX,COMMERCIAL SEX - HOMOSEXUAL PROSTITUTION,N,N,
4004,40,COMMERCIAL SEX,PROSTITUTION,N,N,
4005,40,COMMERCIAL SEX,FREQUENT HOUSE ILL FAME,N,N,
4006,40,COMMERCIAL SEX,TRNSP FEMALE INTERSTATE FOR IMMORAL PURP,N,N,
4007,40,COMMERCIAL SEX,PROCURE FOR PROSTITUTE WHO IS A MINOR,N,N,
4008,40,COMMERCIAL SEX,PROCURE FOR PROSTITUTE WHO IS AN ADULT,N,N,
4009,40,COMMERCIAL SEX,TRANSPORT INTERSTATE FOR COMMERCIALIZED SEX,N,N,
4099,40,COMMERCIAL SEX,COMMERCIAL SEX,N,N,
4101,41,LIQUOR,LIQUOR - MFR,N,N,
4102,41,LIQUOR,LIQUOR - SELL,N,N,
4103,41,LIQUOR,LIQUOR - TRANSPORT,N,N,
4104,41,LIQUOR,LIQUOR - POSSESS,N,N,
4199,41,LIQUOR,LIQUOR,N,N,
4801,48,OBSTRUCT POLICE,RESISTING OFFICER,N,N,
4802,48,OBSTRUCT POLICE,OBSTRUCT CRIMINAL INVEST,N,N,
4803,48,OBSTRUCT POLICE,MAKING FALSE REPORT,N,N,
4804,48,OBSTRUCT POLICE,EVIDENCE - DESTROYING,N,N,
4805,48,OBSTRUCT POLICE,WITNESS - DISSUADING,N,N,
4806,48,OBSTRUCT POLICE,WITNESS - DECEIVING,N,N,
4807,48,OBSTRUCT POLICE,REFUSING TO AID OFFICER,N,N,
4808,48,OBSTRUCT POLICE,COMPOUNDING CRIME,N,N,
4809,48,OBSTRUCT POLICE,UNAUTH COMMUNICATION WITH PRISONER,N,N,
4810,48,OBSTRUCT POLICE,ILLEGAL ARREST,N,N,
4811,48,OBSTRUCT POLICE,CROSSING POLICE LINES,N,N,
4812,48,OBSTRUCT POLICE,FAILURE REPORT CRIME,N,N,
4813,48,OBSTRUCT POLICE,FAILURE TO MOVE ON,N,N,
4899,48,OBSTRUCT POLICE,OBSTRUCT POLICE,N,N,
4901,49,FLIGHT - ESCAPE,ESCAPE - (IDENTIFY INSTITUTION),N,N,
4902,49,FLIGHT - ESCAPE,"FLIGHT TO AVOID - (PROSECUTION, CONFINEMENT, ETC)",N,N,
4903,49,FLIGHT - ESCAPE,AIDING PRISONER ESCAPE (IDENTIFY INSTITUTION),N,N,
4904,49,FLIGHT - ESCAPE,HARBORING ESCAPE/FUGITIVE,N,N,
4999,49,FLIGHT - ESCAPE,FLIGHT-ESCAPE,N,N,
5001,50,"OBSTRUCTING JUDICIAR, CONGRESS",BAIL - SECURED BOND,N,N,
5002,50,"OBSTRUCTING JUDICIAR, CONGRESS",BAIL - PERSONAL RECOG,N,N,
5003,50,"OBSTRUCTING JUDICIAR, CONGRESS",PERJURY,N,N,
5004,50,"OBSTRUCTING JUDICIAR, CONGRESS",PERJURY - SUBORNATION OF,N,N,
5005,50,"OBSTRUCTING JUDICIAR, CONGRESS",CONTEMPT OF COURT,N,N,
5006,50,"OBSTRUCTING JUDICIAR, CONGRESS",OBSTRUCTING JUSTICE,N,N,
5007,50,"OBSTRUCTING JUDICIAR, CONGRESS",OBSTRUCTING COURT ORDER,N,N,
5008,50,"OBSTRUCTING JUDICIAR, CONGRESS",MISCONDUCT - JUDIC OFFICER,N,N,
5009,50,"OBSTRUCTING JUDICIAR, CONGRESS",CONTEMPT OF CONGRESS,N,N,
5010,50,"OBSTRUCTING JUDICIAR, CONGRESS",CONTEMPT OF LEGISLATURE,N,N,
5011,50,"OBSTRUCTING JUDICIAR, CONGRESS",PAROLE VIOLATION,N,N,
5012,50,"OBSTRUCTING JUDICIAR, CONGRESS",PROBATION VIOLATION,N,N,
5013,50,"OBSTRUCTING JUDICIAR, CONGRESS",CONDIT RELEASE VIOLATION,N,N,
5014,50,"OBSTRUCTING JUDICIAR, CONGRESS",MANDATORY RELEASE VIOLATION,N,N,
5015,50,"OBSTRUCTING JUDICIAR, CONGRESS",FAILURE TO APPEAR,N,N,
5016,50,"OBSTRUCTING JUDICIAR, CONGRESS",VIOLATION OF A COURT ORDER,N,N,
5099,50,"OBSTRUCTING JUDICIAR, CONGRESS",OBSTRUCT - (SPECIFY),N,N,
5101,51,BRIBERY,BRIBE - GIVING,N,N,
5102,51,BRIBERY,BRIBE - OFFERING,N,N,
5103,51,BRIBERY,BRIBE - RECEIVING,N,N,
5104,51,BRIBERY,BRIBE,N,N,
5105,51,BRIBERY,CONFLICT OF INTEREST,N,N,
5106,51,BRIBERY,GRATUITY - GIVING,N,N,
5107,51,BRIBERY,GRATUITY - OFFERING,N,N,
5108,51,BRIBERY,GRATUITY - RECEIVING,N,N,
5109,51,BRIBERY,GRATUITY,N,N,
5110,51,BRIBERY,KICKBACK - GIVING,N,N,
5111,51,BRIBERY,KICKBACK - OFFERING,N,N,
5112,51,BRIBERY,KICKBACK - RECEIVING,N,N,
5113,51,BRIBERY,KICKBACK,N,N,
5199,51,BRIBERY,BRIBERY,N,N,
5201,52,WEAPON OFFENSES,ALTERING IDENTIFICATION ON WEAPON,N,N,
5202,52,WEAPON OFFENSES,CARRYING CONCEALED WEAPON,N,N,
5203,52,WEAPON OFFENSES,CARRYING PROHIBITED WEAPON,N,N,
5204,52,WEAPON OFFENSES,EXPLOSIVES - TEACHING USE,N,N,
5205,52,WEAPON OFFENSES,EXPLOSIVES - TRANSPORTING,N,N,
